GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	GeneName_MeanExpression
NKAPL	29.166666666666668	219.0	19.0	18.0	15.0	20.0	NKAPL 29.166666666666668
NKD1	65.0	48.0	3.0	3.0	0.0	6.0	NKD1 65.0
NKG7	590.1666666666666	50.0	14.0	0.0	2.0	14.0	NKG7 590.1666666666666
NLE1	651.1666666666666	1.0	0.0	0.0	0.0	0.0	NLE1 651.1666666666666
NLRC5	2617.833333333333	70.0	4.0	1.0	2.0	4.0	NLRC5 2617.833333333333
NLRP1	1091.0	3.0	0.0	0.0	0.0	0.0	NLRP1 1091.0
NLRP12	113.16666666666669	44.0	0.0	0.0	0.0	0.0	NLRP12 113.16666666666669
NLRP3	533.5	39.0	0.0	0.0	0.0	0.0	NLRP3 533.5
NLRP7	250.16666666666663	39.0	3.0	0.0	0.0	3.0	NLRP7 250.16666666666663
NLRP8	22.0	19.0	0.0	0.0	0.0	0.0	NLRP8 22.0
NMD3	1662.6666666666667	116.0	15.0	0.0	3.0	15.0	NMD3 1662.6666666666667
NME1	1256.1666666666667	595.0	22.0	5.0	9.0	26.0	NME1 1256.1666666666667
NME2	2088.1666666666665	57.0	0.0	0.0	0.0	0.0	NME2 2088.1666666666665
NME9	22.33333333333333	33.0	0.0	1.0	1.0	1.0	NME9 22.33333333333333
NMI	1072.5	113.0	4.0	2.0	2.0	2.0	NMI 1072.5
NMNAT2	3.0	1.0	0.0	0.0	0.0	0.0	NMNAT2 3.0
NMT2	1803.5	113.0	9.0	4.0	5.0	10.0	NMT2 1803.5
NMUR1	351.5	122.0	13.0	3.0	1.0	15.0	NMUR1 351.5
NNMT	5.333333333333333	36.0	2.0	0.0	0.0	2.0	NNMT 5.333333333333333
NNT	1518.6666666666667	278.0	10.0	6.0	7.0	8.0	NNT 1518.6666666666667
NOB1	1791.1666666666667	56.0	3.0	0.0	0.0	3.0	NOB1 1791.1666666666667
NOCT	315.3333333333333	41.0	0.0	0.0	0.0	0.0	NOCT 315.3333333333333
NOD1	491.3333333333333	117.0	12.0	6.0	9.0	15.0	NOD1 491.3333333333333
NOD2	472.0	176.0	13.0	7.0	0.0	20.0	NOD2 472.0
NOG	25.83333333333333	253.0	11.0	0.0	0.0	11.0	NOG 25.83333333333333
NOL10	745.6666666666666	1.0	0.0	0.0	0.0	0.0	NOL10 745.6666666666666
NOL11	1186.8333333333333	183.0	7.0	9.0	9.0	12.0	NOL11 1186.8333333333333
NOL3	73.33333333333333	69.0	11.0	0.0	1.0	11.0	NOL3 73.33333333333333
NOL4L	4171.333333333333	146.0	9.0	7.0	0.0	14.0	NOL4L 4171.333333333333
NOL7	270.5	29.0	2.0	1.0	2.0	2.0	NOL7 270.5
NOL8	1888.8333333333333	416.0	20.0	3.0	4.0	20.0	NOL8 1888.8333333333333
NOLC1	2303.6666666666665	170.0	2.0	3.0	6.0	5.0	NOLC1 2303.6666666666665
NONO	8608.666666666666	66.0	13.0	0.0	0.0	13.0	NONO 8608.666666666666
NOP10	2903.833333333333	100.0	0.0	2.0	4.0	2.0	NOP10 2903.833333333333
NOP2	1088.1666666666667	153.0	5.0	0.0	5.0	5.0	NOP2 1088.1666666666667
