GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	GeneName_MeanExpression
ACKR2	150.75	17.0	4.0	0.0	0.0	4.0	ACKR2 150.75
ACKR3	110.5	225.0	9.0	0.0	0.0	9.0	ACKR3 110.5
ACKR4	29.75	1.0	0.0	0.0	0.0	0.0	ACKR4 29.75
ACMSD	9.75	68.0	0.0	0.0	0.0	0.0	ACMSD 9.75
ACOT2	229.0	62.0	6.0	0.0	1.0	6.0	ACOT2 229.0
ACOT7	1279.25	361.0	37.0	0.0	0.0	37.0	ACOT7 1279.25
ACOT9	1000.0	116.0	7.0	0.0	0.0	7.0	ACOT9 1000.0
ACOX1	777.75	50.0	0.0	0.0	0.0	0.0	ACOX1 777.75
ACOX2	1.75	72.0	9.0	0.0	0.0	9.0	ACOX2 1.75
ACOX3	248.75	1.0	0.0	0.0	1.0	0.0	ACOX3 248.75
ACOXL	213.25	9.0	0.0	0.0	0.0	0.0	ACOXL 213.25
ACP5	107.5	1.0	0.0	0.0	0.0	0.0	ACP5 107.5
ACP6	331.75	20.0	4.0	0.0	4.0	4.0	ACP6 331.75
ACRV1	44.5	1.0	0.0	0.0	0.0	0.0	ACRV1 44.5
ACSBG1	448.75	137.0	16.0	0.0	0.0	16.0	ACSBG1 448.75
ACSL1	851.5	1.0	0.0	0.0	0.0	0.0	ACSL1 851.5
ACSL5	1340.0	349.0	16.0	2.0	8.0	16.0	ACSL5 1340.0
ACSL6	941.0	688.0	43.0	4.0	6.0	44.0	ACSL6 941.0
ACSM1	2.75	32.0	0.0	0.0	0.0	0.0	ACSM1 2.75
ACSM2B	80.0	3.0	0.0	0.0	0.0	0.0	ACSM2B 80.0
ACSM3	78.0	122.0	3.0	0.0	5.0	3.0	ACSM3 78.0
ACSM5	4.25	5.0	0.0	0.0	0.0	0.0	ACSM5 4.25
ACSM6	12.25	21.0	4.0	0.0	2.0	4.0	ACSM6 12.25
ACSS1	653.25	15.0	1.0	0.0	0.0	1.0	ACSS1 653.25
ACSS2	283.25	24.0	1.0	0.0	0.0	1.0	ACSS2 283.25
ACSS3	47.25	5.0	0.0	0.0	0.0	0.0	ACSS3 47.25
ACTA2	260.5	97.0	4.0	0.0	0.0	4.0	ACTA2 260.5
ACTB	55244.25	227.0	42.0	0.0	6.0	42.0	ACTB 55244.25
ACTG1	7703.5	2.0	1.0	0.0	0.0	1.0	ACTG1 7703.5
ACTG2	216.75	1.0	0.0	0.0	0.0	0.0	ACTG2 216.75
ACTL6A	1353.25	122.0	14.0	1.0	1.0	14.0	ACTL6A 1353.25
ACTR1B	2087.25	32.0	2.0	0.0	0.0	2.0	ACTR1B 2087.25
ACTR2	11096.75	21.0	6.0	0.0	0.0	6.0	ACTR2 11096.75
ACTR6	287.5	305.0	13.0	2.0	8.0	15.0	ACTR6 287.5
ACTR8	518.25	299.0	18.0	2.0	5.0	16.0	ACTR8 518.25
ACVR1	552.5	151.0	24.0	0.0	4.0	24.0	ACVR1 552.5
ACVR1B	589.5	32.0	5.0	0.0	0.0	5.0	ACVR1B 589.5
ACVR1C	243.5	232.0	36.0	10.0	4.0	44.0	ACVR1C 243.5
ACVR2A	391.75	15.0	0.0	0.0	0.0	0.0	ACVR2A 391.75
ADAM12	118.5	13.0	0.0	0.0	0.0	0.0	ADAM12 118.5
ADAM17	1820.5	75.0	5.0	0.0	0.0	5.0	ADAM17 1820.5
ADAM21	3.5	1.0	0.0	0.0	0.0	0.0	ADAM21 3.5
ADAM22	282.0	41.0	0.0	0.0	0.0	0.0	ADAM22 282.0
ADAM23	92.0	2.0	0.0	0.0	0.0	0.0	ADAM23 92.0
ADAM28	18.75	7.0	0.0	0.0	0.0	0.0	ADAM28 18.75
ADAM32	850.25	3.0	0.0	0.0	0.0	0.0	ADAM32 850.25
ADAMTS1	93.0	13.0	0.0	0.0	0.0	0.0	ADAMTS1 93.0
ADAMTS17	399.5	60.0	12.0	0.0	5.0	12.0	ADAMTS17 399.5
ADAMTS6	33.0	406.0	24.0	2.0	3.0	24.0	ADAMTS6 33.0
ADAMTS8	3.75	220.0	10.0	0.0	0.0	10.0	ADAMTS8 3.75
ADAMTS9	17.5	13.0	0.0	0.0	0.0	0.0	ADAMTS9 17.5
ADAMTSL2	32.0	53.0	14.0	0.0	0.0	14.0	ADAMTSL2 32.0
ADAR	13712.5	252.0	24.0	1.0	6.0	25.0	ADAR 13712.5
ADARB1	1948.75	94.0	8.0	0.0	0.0	8.0	ADARB1 1948.75
ADARB2	112.5	2.0	0.0	0.0	0.0	0.0	ADARB2 112.5
ADAT1	570.75	274.0	29.0	6.0	20.0	28.0	ADAT1 570.75
ADCK2	186.5	21.0	0.0	0.0	0.0	0.0	ADCK2 186.5
ADCY10	2.75	14.0	4.0	0.0	0.0	4.0	ADCY10 2.75
ADCY2	380.25	3.0	0.0	0.0	0.0	0.0	ADCY2 380.25
ADCY3	947.25	18.0	5.0	0.0	0.0	5.0	ADCY3 947.25
ADCY7	2006.25	153.0	23.0	2.0	2.0	24.0	ADCY7 2006.25
ADCY9	571.0	1.0	0.0	0.0	0.0	0.0	ADCY9 571.0
ADCYAP1R1	2.0	18.0	0.0	0.0	0.0	0.0	ADCYAP1R1 2.0
ADD1	3684.25	247.0	16.0	0.0	0.0	16.0	ADD1 3684.25
ADD2	792.5	17.0	0.0	0.0	0.0	0.0	ADD2 792.5
