GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count
AC007225.1	4.25													
AC007229.1	0.25													
AC007238.1	5.75													
AC007253.1	3.0													
AC007262.1	2.5													
AC007279.1	12.0													
AC007312.1	3.5													
AC007318.3	186.25													
AC007325.1	76.0													
AC007325.2	4.25													
AC007325.4	1.0													
AC007326.4	2848.25													
AC007342.3	245.25													
AC007347.2	72.75													
AC007365.2	1.5													
AC007386.1	1.75													
AC007424.1	95.75													
AC007458.1	9.5													
AC007494.1	20.75													
AC007537.1	0.75													
AC007546.3	2210.0													
AC007551.2	3.75													
AC007599.1	8.5													
AC007610.4	3.5													
AC007618.1	0.0													
AC007619.2	8.5													
AC007663.1	3.75													
AC007683.1	6.25													
AC007685.1	0.75													
AC007686.1	0.5													
AC007688.2	33.75													
AC007731.2	26.75													
AC007738.1	2.0													
AC007834.2	12.0													
AC007842.1	161.0													
AC007906.2	30.0													
AC007919.1	3.25													
AC007954.1	1.5													
AC007956.2	18.0													
AC008012.1	241.25													
AC008013.2	156.75													
AC008013.3	8.0													
AC008013.4	7.5													
AC008026.1	6.25													
AC008026.2	1.75													
AC008038.1	347.75													
AC008040.2	3.75													
AC008072.1	97.0													
AC008073.3	231.75													
AC008105.2	13.25													
AC008132.1	115.0													
AC008134.1	0.25													
AC008147.3	6.25													
AC008264.1	3.25													
AC008267.2	23.75													
AC008267.3	2.75													
AC008267.4	12.0													
AC008267.6	3.5													
AC008267.7	1.0													
AC008277.2	4.75													
AC008417.1	11.5													
AC008429.4	7.75													
AC008481.1	33.0													
AC008481.2	20.25													
AC008489.1	0.25													
AC008494.1	7.5													
AC008498.1	8.0													
AC008507.1	37.25													
AC008555.6	2.0													
AC008565.1	121.25													
AC008567.1	28.0													
AC008575.1	53.5													
AC008581.2	6.5													
