GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count	GeneName_MeanExpression
ABHD4	281.25	5.0	10.0	3.0	1.0	10.0	7.0	3.0	3.0	0.0	1.0	0.0	7.0	3.0	ABHD4 281.25
ABI3BP	64.75	6.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ABI3BP 64.75
ABL2	1947.25	25.0	15.0	1.0	3.0	16.0	6.0	9.0	1.0	0.0	1.0	2.0	7.0	9.0	ABL2 1947.25
ABLIM2	22.5	1.0	2.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	ABLIM2 22.5
ABLIM3	1.5	7.0	9.0	0.0	1.0	9.0	3.0	6.0	0.0	0.0	0.0	1.0	3.0	6.0	ABLIM3 1.5
ABO	498.25	1.0	5.0	2.0	0.0	5.0	5.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	ABO 498.25
ABR	2579.0	9.0	14.0	0.0	0.0	14.0	3.0	11.0	0.0	0.0	0.0	0.0	3.0	11.0	ABR 2579.0
ABRA	46.25	10.0	14.0	0.0	0.0	14.0	11.0	3.0	0.0	0.0	0.0	0.0	11.0	3.0	ABRA 46.25
ABRACL	181.25	1.0	3.0	0.0	2.0	3.0	3.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	ABRACL 181.25
ABTB1	351.5	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	ABTB1 351.5
ACAA1	573.75	9.0	8.0	0.0	2.0	8.0	2.0	6.0	0.0	0.0	1.0	1.0	2.0	6.0	ACAA1 573.75
ACACB	1657.5	6.0	8.0	0.0	2.0	8.0	6.0	2.0	0.0	0.0	2.0	0.0	6.0	2.0	ACACB 1657.5
ACADL	24.25	2.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ACADL 24.25
ACADVL	1629.25	23.0	32.0	0.0	11.0	32.0	18.0	14.0	0.0	0.0	6.0	5.0	18.0	14.0	ACADVL 1629.25
ACAN	113.5	2.0	7.0	0.0	1.0	7.0	7.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	ACAN 113.5
ACAP1	2491.75	25.0	33.0	0.0	10.0	33.0	3.0	30.0	0.0	0.0	1.0	9.0	3.0	30.0	ACAP1 2491.75
ACAP2	3820.25	5.0	10.0	0.0	1.0	10.0	1.0	9.0	0.0	0.0	0.0	1.0	1.0	9.0	ACAP2 3820.25
