GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count	GeneName_MeanExpression
PNMA3	1.1666666666666667	3.0	5.0	0.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	PNMA3 1.1666666666666667
PNOC	9.166666666666666	11.0	12.0	1.0	1.0	12.0	4.0	8.0	1.0	0.0	1.0	0.0	4.0	8.0	PNOC 9.166666666666666
PNP	2093.833333333333	4.0	5.0	6.0	2.0	11.0	1.0	4.0	2.0	4.0	0.0	2.0	3.0	8.0	PNP 2093.833333333333
PNPLA1	28.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PNPLA1 28.0
PNPLA3	54.66666666666666	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PNPLA3 54.66666666666666
PNPLA5	9.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PNPLA5 9.5
PNPO	889.3333333333334	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	PNPO 889.3333333333334
PNRC1	2621.0	7.0	6.0	1.0	2.0	7.0	0.0	6.0	1.0	0.0	1.0	1.0	1.0	6.0	PNRC1 2621.0
POC1A	150.66666666666666	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	POC1A 150.66666666666666
POC5	492.0	3.0	3.0	1.0	2.0	2.0	3.0	0.0	1.0	0.0	1.0	1.0	2.0	0.0	POC5 492.0
PODN	2.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	PODN 2.0
PODNL1	62.66666666666666	2.0	4.0	1.0	0.0	3.0	2.0	2.0	1.0	0.0	0.0	0.0	1.0	2.0	PODNL1 62.66666666666666
