Spearman_corr	Spearman_pval	Pearson_corr	Pearson_pval	Feature
0.3183615601905035	2.6048304836528527e-143	0.12929101613551658	4.346610756258165e-24	ATAC
0.3342329860923861	1.22844248828561e-158	0.11590257076732693	1.2163440472801877e-19	H3K27ac
0.2856022775641935	1.641948717130943e-114	0.10717663845260479	5.255380614290056e-17	H3K4me3
0.3375282470793332	6.178784483938479e-162	0.12620882896409102	5.0743309567411367e-23	RE
