H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	ANKRD65	24.0
0	ANKRD7	7.75
0	ANKS1B	100.25
0	ANKUB1	219.75
0	ANLN	63.75
0	ANO2	2.75
0	ANO5	23.25
0	ANP32A	15270.5
0	ANP32B	7691.5
0	ANP32C	2.25
0	ANPEP	17.25
0	ANTXR1	1.5
0	ANTXR2	965.25
0	ANTXRL	2.5
0	ANXA10	2.75
0	ANXA13	150.5
0	ANXA3	104.75
0	ANXA5	1438.0
0	ANXA6	3495.75
0	ANXA7	2034.0
0	ANXA9	12.5
0	AOAH	274.75
0	AOC1	13.75
0	AOC2	61.25
0	AP001258.1	4.0
0	AP1B1	1317.75
0	AP1G2	4304.5
0	AP1M1	2087.0
0	AP1S3	1380.5
0	AP2A2	1193.0
0	AP4E1	848.0
0	AP4M1	180.5
0	AP4S1	1114.25
0	APBA1	100.0
0	APBA2	802.75
0	APBB1	703.5
0	APBB2	221.75
0	APC2	23.25
0	APCDD1	41.0
0	APCDD1L	5.75
0	APELA	35.25
0	APEX2	583.75
0	APOA1	1.0
0	APOB	6.75
0	APOBEC3A	709.75
0	APOBEC3B	25.0
0	APOBEC3C	2790.5
0	APOBEC3D	1807.5
0	APOBEC3F	554.0
0	APOBEC3H	15.0
0	APOD	13.25
0	APOE	184.25
0	APOL4	496.0
0	APOO	100.5
0	APOOL	1100.75
0	APRT	1061.25
0	AQP1	26.0
0	AQP11	87.0
0	AQP6	141.75
0	AR	31.75
0	ARAF	1435.25
0	ARAP2	1499.0
0	AREG	30.75
0	AREL1	3526.5
0	ARF6	3211.25
0	ARFGAP1	660.0
0	ARFGAP2	977.0
0	ARFGAP3	390.5
0	ARFGEF1	4307.5
0	ARFGEF3	64.75
0	ARFIP1	324.5
0	ARG1	126.5
0	ARHGAP1	2825.25
0	ARHGAP11A	2099.75
0	ARHGAP12	420.0
0	ARHGAP15	1290.5
0	ARHGAP22	159.25
0	ARHGAP23	10.75
0	ARHGAP24	1.0
0	ARHGAP26	1518.0
0	ARHGAP27	1379.0
0	ARHGAP28	860.75
0	ARHGAP29	191.5
0	ARHGAP32	330.75
0	ARHGAP39	36.0
0	ARHGAP44	73.0
0	ARHGAP45	1694.25
0	ARHGAP6	2.75
0	ARHGEF10	689.5
0	ARHGEF15	22.75
0	ARHGEF18	2909.25
0	ARHGEF19	69.5
0	ARHGEF25	5.5
0	ARHGEF26	98.75
0	ARHGEF34P	27.25
0	ARHGEF35	40.25
0	ARHGEF38	184.25
0	ARHGEF5	585.0
0	ARL1	979.5
0	ARL10	1631.25
0	ARL11	124.5
0	ARL13A	16.25
0	ARL14EP	1008.5
0	ARL17B	755.5
0	ARL2BP	449.5
0	ARL4A	181.25
0	ARMC10	2719.75
0	ARMC2	51.25
0	ARMC3	7.0
0	ARMC6	281.25
0	ARMC9	217.25
0	ARMCX5	187.75
0	ARNT2	145.0
0	ARNTL2	1255.25
0	ARPC1B	1719.75
0	ARPC4	6056.0
0	ARR3	40.0
0	ARSB	990.0
0	ARSD	557.0
0	ARSF	13.75
0	ARSG	1103.25
0	ARSJ	133.25
0	ASAP1	5155.5
0	ASAP3	56.25
0	ASB1	412.5
0	ASB11	85.0
0	ASB12	6.5
0	ASB15	14.5
0	ASB16	196.75
0	ASB18	166.75
0	ASB4	36.75
0	ASB9	4.5
0	ASCC2	2048.5
0	ASCC3	3797.0
0	ASCL2	3.0
0	ASF1A	1142.5
0	ASGR1	92.25
0	ASGR2	5.25
0	ASIC1	90.25
0	ASIC4	21.5
0	ASIP	4.0
0	ASMTL	585.5
0	ASPA	309.75
0	ASPHD1	49.0
0	ASPHD2	190.75
0	ASPSCR1	296.5
