ATAC_count	Gene_Name	Mean_Gene_Expression
0	C1QTNF3	114.25
0	C1QTNF9	30.5
0	C1S	67.25
0	C2	282.0
0	C2orf80	35.25
0	C3orf14	25.5
0	C3orf62	815.25
0	C3orf67	119.25
0	C4orf17	8.0
0	C4orf47	0.5
0	C6orf141	271.25
0	C6orf223	2.25
0	C6orf47	423.0
0	C7	92.75
0	C8orf34	632.0
0	C8orf44	287.5
0	C9orf131	142.0
0	C9orf152	2.25
0	C9orf24	34.5
0	CA1	43.75
0	CA8	15.25
0	CACHD1	129.25
0	CACNA1H	52.0
0	CACNB2	419.75
0	CACNB4	321.75
0	CACUL1	1843.5
0	CADPS	319.0
0	CALCOCO2	2639.75
0	CALCRL	275.0
0	CALN1	79.75
0	CALU	1455.0
0	CAMSAP2	217.0
0	CAMTA1	256.75
0	CAP2	2.0
0	CAPN3	215.5
0	CAPN8	6.0
0	CARD18	63.0
0	CARD8	2802.25
0	CATSPERB	281.75
0	CAV3	4.25
0	CBX2	45.75
0	CC2D2B	52.75
0	CCAR1	5668.0
0	CCDC106	19.25
0	CCDC120	419.0
0	CCDC136	175.0
0	CCDC138	258.25
0	CCDC14	1734.25
0	CCDC158	311.0
0	CCDC172	3.25
0	CCDC18	165.0
0	CCDC180	857.0
0	CCDC181	13.0
0	CCDC183	86.0
0	CCDC192	9.5
0	CCDC33	0.25
0	CCDC77	160.5
0	CCDC81	222.75
0	CCDC88A	2378.25
0	CCHCR1	120.75
0	CCL15	14.75
0	CCL2	4.5
0	CCL3L3	380.75
0	CCL4	4073.5
0	CCL4L2	425.0
0	CCL5	8313.5
0	CCNJL	345.25
0	CCR8	42.5
0	CD109	894.75
0	CD163	303.25
0	CD300LD	39.25
0	CD320	608.25
0	CD34	166.25
0	CD36	172.75
0	CD79B	32.5
0	CD80	48.5
0	CD86	16.25
0	CD8A	29.75
0	CD93	85.5
0	CD99	1515.25
0	CD99L2	213.0
0	CDC123	3374.5
0	CDC25C	5.25
0	CDC42BPA	50.0
0	CDCA7	810.0
0	CDCA7L	1410.25
0	CDH10	23.75
0	CDH11	3.5
0	CDH13	71.75
0	CDH18	207.25
0	CDH4	7.0
0	CDH6	103.75
0	CDH8	128.25
0	CDH9	26.0
0	CDK1	104.75
0	CDK14	61.25
0	CDKN1A	921.25
0	CDON	313.5
0	CDPF1	94.5
0	CEACAM3	1.5
0	CEBPD	21.0
0	CELA2A	100.5
0	CELA2B	2.0
0	CELF4	32.5
0	CENPF	327.5
0	CENPP	367.5
0	CENPT	666.0
0	CENPV	571.75
0	CENPW	50.0
0	CEP170B	127.0
0	CEP68	1046.0
0	CFAP206	25.25
0	CFAP221	405.25
0	CFAP44	284.25
0	CFAP45	44.75
0	CFAP69	713.75
0	CFAP73	8.0
0	CFB	136.0
0	CFH	35.75
0	CFTR	18.25
0	CHAF1A	1053.25
0	CHAT	4.25
0	CHCHD2	1483.0
0	CHCHD6	64.75
0	CHD9	631.25
0	CHDH	194.75
0	CHID1	1086.5
0	CHIT1	24.75
0	CHMP2A	1921.5
0	CHST10	202.5
0	CHST15	17.75
0	CHST9	41.0
0	CIR1	1546.75
0	CLC	74.5
0	CLCC1	2807.0
0	CLCN2	451.0
0	CLCN4	4.5
0	CLDN11	187.5
0	CLDN16	52.5
0	CLDN18	30.5
0	CLEC3A	64.25
0	CLEC4D	1.0
0	CLEC4E	96.25
0	CLIC2	26.75
0	CLIC4	192.0
0	CLIP2	197.5
0	CLRN1	3.75
0	CLU	139.25
0	CLUAP1	772.75
0	CLUH	3488.0
0	CNBD2	158.75
0	CNDP1	181.25
0	CNGA1	70.5
0	CNGB1	53.0
0	CNGB3	3.75
0	CNNM1	80.25
0	CNOT10	811.25
0	CNOT11	1210.75
0	CNOT6	1142.5
0	CNTN1	37.0
0	CNTN4	13.5
0	CNTNAP2	165.25
0	CNTNAP5	8.25
0	COA6	317.5
0	COBLL1	177.5
0	COCH	51.75
0	COG2	836.25
0	COL10A1	422.5
0	COL16A1	4.25
0	COL3A1	0.5
0	COL4A2	30.0
0	COL4A6	0.25
0	COL6A3	1158.25
0	COL6A6	11.0
0	COLEC12	1107.0
0	COLGALT2	74.75
0	COMMD5	356.75
0	CORT	4.25
0	COX6C	635.5
0	CPA4	182.25
0	CPA5	17.0
0	CPB1	17.5
0	CPEB3	210.0
0	CPLX2	34.0
0	CPLX3	5.25
0	CPM	636.0
0	CPNE3	576.0
0	CPNE6	132.25
0	CPNE9	4.5
0	CPO	1.0
0	CPS1	201.75
0	CPT1B	337.5
0	CPVL	3.75
0	CRB1	19.75
