ATAC_count	Gene_Name	Mean_Gene_Expression
0	ARHGAP12	420.0
0	ARHGAP18	131.75
0	ARHGAP21	1468.25
0	ARHGAP24	1.0
0	ARHGAP25	4519.25
0	ARHGAP26	1518.0
0	ARHGAP27	1379.0
0	ARHGAP28	860.75
0	ARHGAP32	330.75
0	ARHGAP4	924.75
0	ARHGAP44	73.0
0	ARHGAP6	2.75
0	ARHGEF1	8851.0
0	ARHGEF11	374.25
0	ARHGEF18	2909.25
0	ARHGEF2	2474.5
0	ARHGEF25	5.5
0	ARHGEF26	98.75
0	ARHGEF38	184.25
0	ARHGEF4	180.5
0	ARHGEF9	724.0
0	ARID4A	919.5
0	ARID5A	782.5
0	ARL10	1631.25
0	ARL4A	181.25
0	ARL5A	957.0
0	ARL6IP4	942.0
0	ARMC10	2719.75
0	ARMC4	9.5
0	ARMC5	570.0
0	ARMC9	217.25
0	ARMCX5	187.75
0	ARMCX6	284.0
0	ARNT2	145.0
0	ARNTL2	1255.25
0	ARPC3	581.25
0	ARSB	990.0
0	ARSF	13.75
0	ART3	491.25
0	AS3MT	733.25
0	ASAH2	145.25
0	ASAP3	56.25
0	ASB11	85.0
0	ASB14	80.5
0	ASB15	14.5
0	ASB18	166.75
0	ASB2	135.25
0	ASB9	4.5
0	ASCC3	3797.0
0	ASNS	1581.5
0	ASPA	309.75
0	ASTN2	5593.5
0	ASXL1	3958.5
0	ASXL3	3.25
0	ASZ1	182.0
0	ATAD1	1328.5
0	ATAT1	400.0
0	ATF1	1400.25
0	ATF2	4241.5
0	ATF4	4483.0
0	ATF6	1972.5
0	ATG101	229.25
0	ATG4A	197.5
0	ATG9A	1521.0
0	ATIC	2925.75
0	ATMIN	2029.75
0	ATOX1	331.5
0	ATP10B	185.5
0	ATP11C	682.25
0	ATP13A3	4404.5
0	ATP13A4	35.75
0	ATP1A3	113.75
0	ATP1B2	62.75
0	ATP2A1	47.5
0	ATP2A2	6482.5
0	ATP2B1	1391.0
0	ATP2C1	955.5
0	ATP6V0A1	1405.25
0	ATP6V0D2	119.0
0	ATP6V0E1	1709.75
0	ATP6V0E2	471.25
0	ATP6V1A	6476.25
0	ATP6V1B1	3.75
0	ATP8A2	57.75
0	ATP9A	85.0
0	ATRNL1	21.5
0	ATRX	2249.5
0	ATXN2L	5634.25
0	ATXN7	13587.5
0	ATXN7L3B	3132.5
0	AURKB	31.5
0	AURKC	25.25
0	AVIL	267.75
0	AXIN2	358.75
0	AZIN1	1140.25
0	AZIN2	136.5
0	B3GALNT1	96.0
0	B3GALT1	139.75
0	B3GALT5	33.0
0	B3GLCT	64.0
0	B3GNT2	492.0
0	B3GNT8	6.0
0	B4GALNT3	81.5
0	B4GALT3	689.25
0	B4GALT6	68.25
0	BAAT	2.75
0	BAG3	530.25
0	BAIAP2L1	120.0
0	BAMBI	2.0
0	BANK1	46.5
0	BARD1	402.25
0	BATF	588.0
0	BAZ2A	6223.5
0	BBS12	26.0
0	BBX	1152.25
0	BCAP29	422.0
0	BCAR3	123.5
0	BCAS2	1088.25
0	BCAT1	270.0
0	BCL2L10	5.5
0	BCL2L13	1203.5
0	BCL2L2	30.0
0	BCL7B	1138.5
0	BCL9	2071.75
0	BCL9L	12424.5
0	BCO2	170.0
0	BCOR	3628.75
0	BCS1L	457.0
0	BDH2	90.0
0	BDKRB1	39.75
0	BDNF	8.75
0	BDP1	3254.5
0	BEND3	345.75
0	BEND5	10.75
0	BEND6	25.5
0	BEND7	70.0
0	BEST3	29.0
0	BEX1	31.0
0	BFAR	2018.25
0	BFSP2	8.0
0	BHMT	24.25
0	BICC1	0.5
0	BIRC5	413.5
0	BLCAP	1257.25
0	BLNK	5.75
0	BLOC1S2	647.25
0	BLOC1S6	31199.0
0	BMP4	4.5
0	BMPER	54.0
0	BMPR1B	8.25
0	BMPR2	826.75
0	BMX	0.75
0	BNC2	31.75
0	BNIP1	63.25
0	BNIP2	3431.5
0	BNIPL	187.0
0	BOD1L1	5993.25
0	BOLA1	44.5
