H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	ARHGAP35	1478.0
0	ARHGAP39	36.0
0	ARHGAP42	4.5
0	ARHGAP44	73.0
0	ARHGAP6	2.75
0	ARHGEF10	689.5
0	ARHGEF18	2909.25
0	ARHGEF28	20.0
0	ARHGEF34P	27.25
0	ARHGEF35	40.25
0	ARHGEF38	184.25
0	ARHGEF5	585.0
0	ARL11	124.5
0	ARL13A	16.25
0	ARL14EP	1008.5
0	ARL2BP	449.5
0	ARMC2	51.25
0	ARMC3	7.0
0	ARMCX1	33.0
0	ARMCX2	31.25
0	ARMCX5	187.75
0	ARPC4	6056.0
0	ARR3	40.0
0	ARSD	557.0
0	ARSF	13.75
0	ARSJ	133.25
0	ASAP3	56.25
0	ASB1	412.5
0	ASB11	85.0
0	ASB16	196.75
0	ASB18	166.75
0	ASB4	36.75
0	ASCL2	3.0
0	ASIC1	90.25
0	ASIC3	90.75
0	ASIC4	21.5
0	ASMT	27.25
0	ASMTL	585.5
0	ASPG	23.25
0	ASPH	1034.25
0	ASPHD1	49.0
0	ASPHD2	190.75
0	ASPN	65.25
0	ASPSCR1	296.5
0	ASZ1	182.0
0	ATAD3C	213.0
0	ATF5	656.0
0	ATF6	1972.5
0	ATOX1	331.5
0	ATP10B	185.5
0	ATP10D	214.0
0	ATP11C	682.25
0	ATP12A	3.5
0	ATP2B1	1391.0
0	ATP2B2	23.75
0	ATP2C2	98.5
0	ATP4A	3.25
0	ATP4B	2.5
0	ATP6AP1	653.5
0	ATP6V0CP3	7.0
0	ATP6V0D2	119.0
0	ATP6V1H	636.25
0	ATP8A2	57.75
0	ATP8B1	276.0
0	ATPAF1	597.75
0	ATRN	463.0
0	ATRNL1	21.5
0	ATXN7L2	253.0
0	AUH	267.25
0	AUNIP	225.75
0	AURKAIP1	465.5
0	AUTS2	1624.75
0	AVPR1A	37.25
0	AVPR2	27.75
0	AWAT1	4.75
0	AXIN1	308.25
0	AXIN2	358.75
0	AZU1	256.75
0	B3GALT1	139.75
0	B3GALT2	136.0
0	B3GALT5	33.0
0	B3GAT1	27.5
0	B3GNT3	10.25
0	B3GNT4	153.5
0	B3GNT5	2199.0
0	B3GNT6	81.0
0	B3GNT7	19.0
0	B3GNT8	6.0
0	B4GALNT3	81.5
0	B4GALT5	2562.5
0	B4GALT7	407.5
0	BAALC	11.75
0	BAAT	2.75
0	BACE1	159.75
0	BAGE2	31.75
0	BAHCC1	7.5
0	BAHD1	546.5
0	BAIAP2	82.0
0	BAIAP2L2	8.25
0	BAIAP3	299.5
0	BANK1	46.5
0	BARX2	83.0
0	BASP1	54.75
0	BAZ2B	1329.75
0	BBX	1152.25
0	BCAR1	14.0
0	BCAR3	123.5
0	BCAS1	119.5
0	BCAS4	1134.5
0	BCL2A1	249.75
0	BCL2L10	5.5
0	BCL2L11	1945.0
0	BCL2L15	995.0
0	BCL3	995.0
0	BCL6B	8.5
0	BCO2	170.0
0	BCOR	3628.75
0	BCORL1	637.0
0	BDKRB1	39.75
0	BDNF	8.75
0	BEND2	912.75
