H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	COBLL1	177.5
0	COL15A1	22.25
0	COL16A1	4.25
0	COL17A1	28.0
0	COL18A1	219.25
0	COL1A1	149.25
0	COL1A2	32.25
0	COL20A1	17.25
0	COL28A1	183.75
0	COL2A1	6.25
0	COL4A1	99.5
0	COL4A2	30.0
0	COL4A5	36.0
0	COL5A2	1.75
0	COL5A3	20.25
0	COL6A2	76.25
0	COL6A4P2	3.75
0	COL7A1	8.5
0	COL8A2	16.25
0	COL9A1	219.5
0	COL9A2	25.5
0	COLGALT2	74.75
0	COLQ	186.75
0	COMMD4	481.75
0	COMMD5	356.75
0	COMMD7	537.5
0	COMMD8	57.5
0	COMMD9	410.5
0	COMP	108.75
0	COPS6	693.5
0	COQ3	230.25
0	COQ4	1283.25
0	CORO1B	690.0
0	CORO1C	418.5
0	CORT	4.25
0	COX10	482.25
0	COX6B2	596.75
0	COX6C	635.5
0	COX7B2	9.75
0	COX7C	2935.75
0	CP	68.5
0	CPA3	12.25
0	CPA4	182.25
0	CPA5	17.0
0	CPAMD8	233.75
0	CPB1	17.5
0	CPD	1942.75
0	CPEB4	1352.25
0	CPLX1	13.0
0	CPNE2	168.5
0	CPNE5	8.5
0	CPNE8	352.5
0	CPNE9	4.5
0	CPOX	392.25
0	CPPED1	401.5
0	CPQ	199.25
0	CPS1	201.75
0	CPSF1	4022.25
0	CPSF4	1111.0
0	CPVL	3.75
0	CPXM1	7.0
0	CPXM2	23.0
0	CRABP2	6.75
0	CRB2	78.75
0	CREB3L2	1971.25
0	CREB5	20.25
0	CREBL2	624.75
0	CREG1	528.25
0	CRELD2	436.5
0	CRIM1	664.25
0	CRIP3	6.75
0	CRISPLD1	2.5
0	CRISPLD2	443.0
0	CRTAM	288.5
0	CRYBA1	8.75
0	CRYGS	45.0
0	CSF1	2099.5
0	CSF2RA	521.0
0	CSMD3	236.75
0	CSNK1E	1629.75
0	CSNK2A1	5558.75
0	CSNK2A3	5.0
0	CSRNP1	1050.0
0	CSRNP3	9.0
0	CST3	21.0
0	CST7	354.75
0	CSTL1	50.25
0	CTAGE1	4.0
0	CTAGE6	48.25
0	CTAGE8	8.75
0	CTBP1	1229.25
0	CTDSPL	57.0
0	CTHRC1	16.0
0	CTNNA2	33.0
0	CTNND1	271.5
0	CTNND2	7.25
0	CTRB1	23.5
0	CTSC	1179.0
0	CTSD	789.5
0	CTSE	2.75
0	CTSH	287.0
0	CTSK	145.75
0	CTSL	154.0
0	CTSO	91.0
0	CTSS	1591.25
0	CTSV	151.5
0	CTSW	551.75
0	CTSZ	102.5
0	CTTNBP2NL	123.75
0	CTU1	47.0
0	CUEDC1	2.5
0	CUX2	3.75
0	CUZD1	17.25
0	CWC25	1277.0
0	CWF19L2	1166.75
0	CX3CL1	141.25
0	CXADRP3	1.0
0	CXCL13	13.0
0	CXCL16	482.0
0	CXCL17	5.5
0	CXCL5	1.0
0	CXCL8	8.5
0	CXCL9	118.5
0	CXCR2	52.25
0	CXCR2P1	2.5
0	CXCR3	1442.25
0	CXorf21	89.75
0	CXorf38	2619.75
0	CYB561	253.25
0	CYB561D1	429.0
0	CYB5R2	153.75
0	CYB5R3	4577.75
0	CYB5R4	848.5
0	CYBB	8.5
0	CYLC2	80.0
0	CYP17A1	190.5
0	CYP24A1	3.75
0	CYP26C1	2.0
0	CYP2A6	7.5
0	CYP2A7	2.0
0	CYP2B6	172.0
0	CYP2B7P	96.5
0	CYP2D6	253.25
0	CYP2D7	43.25
0	CYP2F1	20.25
0	CYP2T1P	367.5
0	CYP2W1	40.5
