H3K27ac_count	Gene_Name	Mean_Gene_Expression
0	ALG3	1944.25
0	ALG5	201.25
0	ALG9	643.25
0	ALK	128.75
0	ALKBH1	183.0
0	ALKBH2	550.0
0	ALKBH3	177.5
0	ALKBH5	1569.5
0	ALKBH6	1107.0
0	ALKBH7	44.0
0	ALKBH8	1029.25
0	ALOX15B	0.25
0	ALPK1	686.5
0	ALPK2	66.5
0	ALS2	571.0
0	AMBRA1	1016.0
0	AMD1	3405.75
0	AMER1	101.5
0	AMER2	55.0
0	AMER3	48.0
0	AMMECR1	513.5
0	AMN	36.5
0	AMN1	409.5
0	AMOT	74.5
0	AMPD3	621.0
0	AMY2B	613.5
0	AMZ2	1129.75
0	ANAPC1	4128.0
0	ANAPC15	1343.0
0	ANAPC5	3688.75
0	ANAPC7	1502.25
0	ANGEL2	869.25
0	ANGPT1	61.25
0	ANGPT2	554.75
0	ANGPT4	60.25
0	ANGPTL1	22.75
0	ANGPTL3	1.5
0	ANGPTL5	1.0
0	ANGPTL7	98.25
0	ANK1	350.75
0	ANK2	0.75
0	ANK3	2788.25
0	ANKAR	83.0
0	ANKDD1A	898.5
0	ANKEF1	122.5
0	ANKFN1	2.75
0	ANKHD1	3823.5
0	ANKMY1	604.5
0	ANKMY2	46.5
0	ANKRD10	1164.5
0	ANKRD11	11882.0
0	ANKRD24	30.5
0	ANKRD26	285.0
0	ANKRD36B	2665.5
0	ANKRD39	464.0
0	ANKRD40	2902.75
0	ANKRD46	555.5
0	ANKRD55	335.5
0	ANKRD6	198.0
0	ANKRD61	82.25
0	ANKRD7	7.75
0	ANKS1A	1449.75
0	ANKS1B	100.25
0	ANKS4B	401.5
0	ANLN	63.75
0	ANO10	210.25
0	ANO2	2.75
0	ANO9	580.5
0	ANP32A	15270.5
0	ANTXR1	1.5
0	ANTXR2	965.25
0	ANTXRL	2.5
0	ANXA11	2283.75
0	ANXA13	150.5
0	ANXA2	1739.5
0	ANXA3	104.75
0	ANXA5	1438.0
0	AOAH	274.75
0	AOC1	13.75
0	AOC2	61.25
0	AP001258.1	4.0
0	AP1B1	1317.75
0	AP1G2	4304.5
0	AP1M1	2087.0
0	AP1M2	4.0
0	AP1S3	1380.5
0	AP2M1	1775.75
0	AP3B1	1940.5
0	AP4B1	956.5
0	AP4E1	848.0
0	AP4S1	1114.25
0	APAF1	862.25
0	APBA2	802.75
0	APBB1	703.5
0	APBB2	221.75
0	APC	900.0
0	APEH	1305.5
0	APELA	35.25
0	APEX1	7698.75
0	APEX2	583.75
0	APH1A	825.25
0	API5	6112.0
0	APLN	2.5
0	APLP1	136.5
0	APMAP	1070.0
0	APOA1	1.0
0	APOB	6.75
0	APOBEC3A	709.75
0	APOBEC3B	25.0
0	APOBEC3H	15.0
0	APOD	13.25
0	APOE	184.25
0	APOH	10.5
0	APOL3	1834.25
0	APOM	39.5
0	APOO	100.5
0	APOOL	1100.75
0	APP	3418.25
0	APPL1	1190.5
0	APTX	934.5
0	AQP10	3.75
0	AQP11	87.0
0	AQP6	141.75
0	ARAF	1435.25
0	ARAP1	1538.75
0	ARAP2	1499.0
0	ARAP3	60.75
0	AREG	30.75
0	AREL1	3526.5
0	ARF3	2554.5
0	ARF4	706.75
0	ARF5	97.75
0	ARF6	3211.25
0	ARFGAP2	977.0
0	ARFGAP3	390.5
0	ARFGEF1	4307.5
0	ARFIP1	324.5
0	ARG1	126.5
0	ARG2	215.25
0	ARGFX	6.0
0	ARHGAP1	2825.25
0	ARHGAP10	275.75
0	ARHGAP12	420.0
0	ARHGAP15	1290.5
0	ARHGAP17	1468.75
0	ARHGAP18	131.75
0	ARHGAP24	1.0
0	ARHGAP26	1518.0
0	ARHGAP27	1379.0
0	ARHGAP28	860.75
0	ARHGAP32	330.75
0	ARHGAP35	1478.0
0	ARHGAP4	924.75
0	ARHGAP44	73.0
0	ARHGAP6	2.75
0	ARHGEF1	8851.0
0	ARHGEF10	689.5
0	ARHGEF11	374.25
0	ARHGEF12	2204.5
0	ARHGEF18	2909.25
0	ARHGEF2	2474.5
0	ARHGEF25	5.5
0	ARHGEF26	98.75
0	ARHGEF3	5602.75
0	ARHGEF37	9.5
0	ARHGEF38	184.25
0	ARHGEF4	180.5
0	ARHGEF40	21.75
0	ARHGEF6	4269.75
0	ARHGEF7	1922.25
0	ARHGEF9	724.0
0	ARID3B	1268.75
0	ARID5A	782.5
0	ARL1	979.5
0	ARL10	1631.25
0	ARL11	124.5
0	ARL14EP	1008.5
0	ARL2BP	449.5
0	ARL4A	181.25
0	ARL4D	16.0
0	ARL5A	957.0
0	ARL6IP4	942.0
0	ARL6IP5	2069.0
0	ARL9	289.25
0	ARMC10	2719.75
0	ARMC12	5.25
0	ARMC2	51.25
0	ARMC4	9.5
0	ARMC6	281.25
0	ARMC8	1907.0
0	ARMC9	217.25
0	ARMCX5	187.75
0	ARNT2	145.0
0	ARNTL2	1255.25
0	ARPC2	8413.75
0	ARPC3	581.25
0	ARPC4	6056.0
0	ARPP19	3337.75
0	ARRB2	3380.0
0	ARRDC2	606.75
0	ARSF	13.75
0	ARSG	1103.25
0	ART3	491.25
0	ART4	120.5
0	AS3MT	733.25
0	ASAH2	145.25
0	ASAP1	5155.5
0	ASAP3	56.25
0	ASB11	85.0
0	ASB14	80.5
0	ASB15	14.5
0	ASB18	166.75
0	ASB2	135.25
0	ASB9	4.5
0	ASCC3	3797.0
0	ASF1A	1142.5
0	ASGR1	92.25
0	ASGR2	5.25
0	ASIC1	90.25
0	ASIP	4.0
0	ASNS	1581.5
0	ASPA	309.75
0	ASPDH	119.0
0	ASPH	1034.25
0	ASPHD1	49.0
0	ASPHD2	190.75
0	ASPM	101.5
0	ASS1	3.25
0	ASTN2	5593.5
0	ASXL3	3.25
0	ASZ1	182.0
0	ATAD1	1328.5
0	ATAD2	1140.75
0	ATAD2B	1206.5
0	ATF1	1400.25
0	ATF2	4241.5
0	ATF3	131.25
0	ATF4	4483.0
0	ATF5	656.0
0	ATF6	1972.5
0	ATF7IP2	729.5
0	ATG101	229.25
0	ATG16L2	1541.5
0	ATG4A	197.5
0	ATG4B	587.25
0	ATG4C	100.0
0	ATG4D	342.25
0	ATG7	1251.0
0	ATL1	28.75
0	ATL3	2709.75
0	ATMIN	2029.75
0	ATN1	3135.5
0	ATOX1	331.5
0	ATP10A	1002.75
0	ATP10B	185.5
0	ATP11C	682.25
0	ATP13A2	706.75
0	ATP13A3	4404.5
0	ATP13A4	35.75
0	ATP1A1	35459.75
0	ATP1A3	113.75
0	ATP1A4	297.0
0	ATP1B2	62.75
0	ATP1B3	593.5
0	ATP23	162.25
0	ATP2A1	47.5
0	ATP2A2	6482.5
0	ATP2B3	0.25
0	ATP2C1	955.5
0	ATP6AP2	1569.75
0	ATP6V0D1	1605.25
0	ATP6V0D2	119.0
0	ATP6V0E1	1709.75
0	ATP6V0E2	471.25
0	ATP6V1A	6476.25
0	ATP6V1B1	3.75
0	ATP6V1G1	386.75
0	ATP6V1H	636.25
0	ATP9A	85.0
0	ATPAF1	597.75
0	ATR	1245.75
0	ATRIP	281.0
0	ATRNL1	21.5
0	ATRX	2249.5
0	ATXN2	5251.25
0	ATXN2L	5634.25
0	ATXN3	1187.75
0	ATXN7L3B	3132.5
0	AUH	267.25
0	AURKB	31.5
0	AURKC	25.25
0	AUTS2	1624.75
0	AVIL	267.75
0	AVL9	1850.0
0	AXIN2	358.75
0	AZIN2	136.5
0	B3GALNT1	96.0
0	B3GALNT2	442.0
0	B3GALT1	139.75
0	B3GALT2	136.0
