H3K27ac_count	Gene_Name	Mean_Gene_Expression
0	C7orf31	100.25
0	C7orf57	12.75
0	C7orf61	21.0
0	C8orf37	201.25
0	CAB39	4209.5
0	CABYR	159.0
0	CACFD1	82.75
0	CALN1	79.75
0	CAMK1G	3.75
0	CAMK4	7156.25
0	CAPG	73.75
0	CAPS2	188.25
0	CAPSL	1.5
0	CARD11	1330.25
0	CARNMT1	720.5
0	CASP8AP2	781.75
0	CASS4	316.25
0	CATIP	357.25
0	CATSPERG	367.25
0	CAV1	1.5
0	CBL	5055.75
0	CBLL1	3804.25
0	CBX2	45.75
0	CBX3	2089.75
0	CBX8	13.75
0	CCDC106	19.25
0	CCDC125	1875.25
0	CCDC134	61.5
0	CCDC138	258.25
0	CCDC142	415.0
0	CCDC146	82.0
0	CCDC15	63.75
0	CCDC183	86.0
0	CCDC28A	140.75
0	CCDC65	81.5
0	CCDC80	183.75
0	CCDC82	602.5
0	CCDC86	2705.5
0	CCDC89	10.25
0	CCDC9	549.5
0	CCDC91	2234.5
0	CCDC97	1144.75
0	CCL27	93.75
0	CCL3	4627.0
0	CCM2	1055.5
0	CCND1	275.0
0	CCNT2	1957.25
0	CCNY	2114.5
0	CCNYL1	1029.75
0	CCP110	1099.75
0	CCR2	95.75
0	CCR4	3127.0
0	CCRL2	40.0
0	CD109	894.75
0	CD160	214.0
0	CD200	1146.75
0	CD200R1	368.75
0	CD22	655.75
0	CD226	4638.0
0	CD274	1564.5
0	CD300LB	4.75
0	CD300LF	7.5
0	CD38	947.0
0	CD40LG	4241.0
0	CD46	2587.75
0	CD55	5221.5
0	CD63	1255.5
0	CD68	940.0
0	CD72	83.25
0	CD79B	32.5
0	CD9	4.5
0	CD96	3771.75
0	CD99	1515.25
0	CDC20	209.0
0	CDC27	1075.25
0	CDC37L1	253.5
0	CDC42SE2	7620.25
0	CDC6	3505.25
0	CDC73	2902.5
0	CDCA4	446.75
0	CDH16	2.5
0	CDHR4	113.5
0	CDK12	3888.5
0	CDK13	3808.25
0	CDK17	1277.5
0	CDK19	324.25
0	CDK6	17407.0
0	CDK7	571.25
0	CDK8	571.75
0	CDKL2	8.0
0	CDKL5	4410.5
0	CDKN2A	46.0
0	CDKN2AIPNL	289.25
0	CDKN2D	781.25
0	CEACAM1	552.75
0	CEACAM6	2.5
0	CELA1	3.5
0	CELSR2	152.0
0	CEMIP	226.0
0	CENPH	593.5
0	CENPM	195.25
0	CEP120	2785.5
0	CEP126	503.0
0	CEP250	1690.25
0	CEP350	2346.0
0	CEP70	108.75
0	CETP	141.75
0	CFAP157	107.5
0	CFAP20	758.75
0	CFAP54	1402.25
0	CFAP70	118.0
0	CFAP77	2.5
0	CFL2	783.25
0	CFP	502.0
0	CGREF1	72.75
0	CGRRF1	102.25
0	CH25H	4.0
0	CHAF1B	1388.25
0	CHCHD1	120.25
0	CHCHD3	592.75
0	CHCHD5	234.75
0	CHD4	8100.0
0	CHD8	4085.25
0	CHEK2	1107.75
0	CHI3L2	121.75
0	CHIC2	266.0
0	CHID1	1086.5
0	CHKA	263.0
0	CHMP3	868.0
0	CHN1	83.25
0	CHORDC1	9541.25
0	CHST11	2341.0
0	CHST4	10.75
0	CHUK	533.25
0	CIB2	21.5
0	CIC	1601.5
0	CIPC	585.75
0	CIRBP	3274.0
0	CITED2	2163.25
0	CKS1B	334.0
0	CLCN3	1264.25
0	CLCN5	315.0
0	CLDN12	116.25
0	CLDN15	170.25
0	CLDND1	8477.5
0	CLDND2	46.0
0	CLEC3B	6.25
0	CLEC7A	528.0
0	CLINT1	5665.5
0	CLK2	1622.25
0	CLK4	1296.25
0	CLNS1A	1313.0
0	CLPB	3399.25
0	CLSPN	648.75
0	CLSTN1	1937.5
0	CLTA	1268.75
0	CLTB	314.25
0	CLUL1	58.5
0	CMC1	233.0
0	CMIP	1083.5
0	CMPK2	130.0
0	CMSS1	1999.0
0	CMTR1	837.0
0	CNBP	3555.25
0	CNNM4	287.0
0	CNOT11	1210.75
0	CNOT3	2894.0
0	CNOT4	2659.5
0	CNPY2	1104.5
0	CNPY3	1047.0
0	CNTD2	17.5
0	COA6	317.5
0	COG3	1156.25
0	COL17A1	28.0
0	COL19A1	88.75
0	COL1A1	149.25
0	COL23A1	17.25
0	COL28A1	183.75
0	COL5A2	1.75
0	COL6A3	1158.25
0	COL8A2	16.25
0	COL9A1	219.5
0	COLQ	186.75
0	COMMD10	177.75
0	COMMD8	57.5
0	COMMD9	410.5
0	COPB2	2690.75
0	COPG1	2543.0
0	COPS3	1025.25
0	COPS7A	732.75
0	COPZ1	647.5
0	COQ10A	531.75
0	COQ7	133.0
0	CORO1C	418.5
0	COTL1	2777.25
0	COX16	334.5
0	COX5B	375.5
0	COX6B1	77.5
0	COX7A2	657.75
0	COX7C	2935.75
0	CP	68.5
0	CPA3	12.25
0	CPA4	182.25
0	CPEB4	1352.25
0	CPED1	29.5
0	CPLX4	5.5
0	CPNE6	132.25
0	CPSF6	2259.0
0	CPT2	567.75
0	CPVL	3.75
0	CR1	615.5
0	CR2	25.5
0	CRADD	251.5
0	CRB2	78.75
0	CREB3L2	1971.25
0	CREG1	528.25
0	CRK	559.5
0	CRLS1	368.75
0	CRNKL1	1102.75
0	CROCC	844.5
0	CRTAM	288.5
0	CRY1	424.25
0	CRYBG3	163.25
0	CRYGS	45.0
0	CS	4315.25
0	CSNK2A1	5558.75
0	CSNK2A3	5.0
0	CSTF3	3142.25
0	CTAGE1	4.0
0	CTBP1	1229.25
0	CTDSP1	645.5
0	CTNNAL1	30.5
0	CTNND1	271.5
0	CTSC	1179.0
0	CTSK	145.75
0	CTSW	551.75
0	CUBN	486.5
0	CWC22	830.75
0	CWC25	1277.0
0	CWC27	601.75
0	CWF19L2	1166.75
0	CX3CR1	48.75
0	CXCL17	5.5
0	CXCL9	118.5
0	CXCR6	211.25
0	CXorf21	89.75
0	CYB5A	596.5
0	CYB5B	1379.5
0	CYB5R2	153.75
0	CYB5R4	848.5
0	CYBB	8.5
0	CYP11A1	29.0
0	CYP2E1	46.75
0	CYP3A43	565.5
0	CYP7B1	1.25
0	CYP8B1	71.75
0	CYSLTR1	2300.75
0	DAGLA	32.0
0	DAND5	675.75
0	DAPP1	821.5
0	DBT	2254.25
0	DCAKD	990.0
0	DCBLD1	245.75
0	DCBLD2	120.75
0	DCTD	648.0
0	DCTN6	583.75
0	DCTPP1	767.0
0	DDI2	5270.0
0	DDX10	1850.25
0	DDX19A	2897.0
0	DDX23	1595.25
0	DDX27	1558.0
0	DDX50	703.25
0	DDX58	355.5
0	DECR1	291.5
0	DENND2D	2027.25
0	DEPDC5	2702.75
0	DEPTOR	49.0
0	DGCR8	1714.75
0	DGKA	28417.0
0	DGKB	184.5
0	DHRS12	164.25
0	DHRS3	798.75
0	DHX15	4913.75
0	DHX30	2885.75
0	DHX36	1302.5
0	DHX58	151.25
0	DIAPH1	6861.25
0	DIAPH3	656.0
0	DIO1	18.5
0	DIP2B	3250.75
0	DKK4	1.75
0	DLD	1432.25
0	DMC1	1423.25
0	DMTF1	5178.5
0	DMXL1	878.0
0	DMXL2	321.25
0	DNAH1	2079.75
0	DNAH3	139.25
0	DNAJA2	3502.75
0	DNAJB6	1928.75
0	DNAJB8	5.0
0	DNAJC12	51.75
0	DNAJC16	1002.5
0	DNAJC27	103.25
0	DNAJC5B	156.75
0	DNHD1	1387.0
0	DNM1L	2107.5
0	DNM2	2362.25
0	DOCK10	15149.5
0	DONSON	445.25
0	DOT1L	1136.25
0	DPEP2	938.5
0	DPF3	22.0
0	DPM2	834.5
0	DPY30	378.0
0	DQX1	132.0
0	DRAM1	288.5
0	DRD3	4.0
0	DRICH1	20.25
0	DSC1	64.0
0	DSCAML1	3.0
0	DSE	98.25
0	DST	1579.5
0	DSTN	405.75
0	DTHD1	63.75
0	DTWD2	668.5
0	DTX1	269.25
0	DUS3L	513.0
0	DUSP10	378.0
0	DUSP11	1756.5
0	DUSP14	180.5
0	DUSP22	574.25
0	DUSP28	751.5
0	DYNC1LI2	1093.25
0	DYRK1B	80.25
0	DYRK2	7836.5
0	E2F4	1767.25
0	E2F5	696.25
0	EBAG9	509.75
0	EBLN2	991.25
0	EBPL	1684.5
0	ECHDC3	11.0
0	ECI2	393.25
0	EDAR	198.75
0	EDC3	960.5
0	EDEM1	4571.25
0	EEA1	913.5
0	EFNA4	110.5
0	EFNB1	211.75
0	EFNB2	4.75
0	EGLN1	546.25
0	EGR2	5327.0
0	EID1	5153.25
0	EID2	90.75
0	EID3	165.25
0	EIF1B	96.75
0	EIF2AK3	126.5
0	EIF2B3	556.0
