	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717
A1BG	279	535	537	311	335	407
A1CF	1	10	5	7	5	7
A2M	11	37	38	55	0	20
A2ML1	30	55	80	66	49	47
A2MP1	0	8	1	5	0	4
A4GALT	51	235	104	131	78	182
AAAS	172	2207	722	1108	693	1398
AACS	649	1431	937	903	410	989
AADAT	0	11	1	9	0	10
AAGAB	2822	2905	1607	2101	702	1962
AAK1	3062	7191	3457	3703	919	4839
AAMDC	475	759	498	480	180	498
AAMP	4498	4937	2723	2935	811	3207
AANAT	21	11	0	23	0	4
AAR2	4617	4110	1741	2540	774	2464
AARD	52	153	88	122	75	106
AARS1	4226	2409	1567	1706	1641	1897
AARS2	67	361	113	215	656	358
AARSD1	1325	2205	1416	1277	115	1186
AASDH	174	918	411	567	123	781
AASDHPPT	3209	3043	1013	1582	3	2346
AASS	23	458	631	635	80	428
AATF	1298	2127	1248	1021	725	1223
AATK	1	69	2	10	1	17
ABAT	118	642	218	387	107	332
ABCA1	3459	8484	2530	4187	2684	8011
ABCA10	0	30	31	10	0	36
ABCA11P	12	231	93	60	0	58
ABCA13	26	99	73	48	43	51
ABCA17P	10	43	21	26	4	34
ABCA2	192	374	430	120	1	144
ABCA3	26	145	9	70	1	65
ABCA5	1179	2327	1035	1215	21	1689
ABCA6	45	170	40	117	51	90
ABCA7	132	169	188	100	334	92
ABCA8	32	108	35	62	7	48
ABCA9	64	252	136	149	104	146
ABCB1	3736	4136	2044	2612	2642	4835
ABCB10	11	722	205	347	1	399
ABCB11	29	56	29	34	15	27
ABCB4	0	9	0	14	0	7
ABCB5	272	947	390	637	49	1062
ABCB6	7	48	8	57	0	16
ABCB7	583	1534	1130	1174	414	1326
ABCB8	133	506	389	239	1127	368
ABCB9	172	241	269	192	123	187
ABCC1	842	3282	2044	2016	771	2636
ABCC10	2196	1554	1131	1061	1070	1128
ABCC11	39	54	34	41	0	32
ABCC13	9	14	7	8	5	4
ABCC2	22	74	74	97	23	77
ABCC3	49	139	80	101	432	83
ABCC4	289	421	762	436	301	317
ABCC5	394	738	802	435	0	525
ABCC6	100	279	110	146	29	150
ABCC6P1	0	9	6	7	0	0
ABCC8	13	50	23	29	41	16
ABCC9	176	311	227	220	101	181
ABCD1	12	19	6	9	12	10
ABCD2	216	75	269	161	0	91
ABCD3	874	617	749	480	16	730
ABCD4	1128	2481	1359	1585	1390	2492
ABCE1	3088	2911	1930	1953	53	2013
ABCF1	3807	5011	2321	2189	1544	2925
ABCF2	4468	5090	2084	2407	1101	3181
ABCF3	1156	3481	1070	2331	218	2808
ABCG1	141	285	308	314	192	197
ABCG2	1	249	446	498	1	303
ABCG5	7	17	8	9	14	12
ABCG8	34	62	35	35	20	35
ABHD1	355	164	199	173	90	144
ABHD10	1136	1188	376	728	335	726
ABHD11	90	275	724	147	71	323
ABHD12	107	159	62	80	1	46
ABHD12B	30	106	81	92	51	108
ABHD13	1633	488	236	312	110	693
ABHD14A	271	272	157	193	368	229
ABHD14A-ACY1	0	120	31	95	508	78
ABHD14B	1281	2291	1079	1179	611	1123
ABHD15	2949	6598	3079	3520	3596	6701
ABHD16A	1418	1872	581	1144	710	1496
ABHD17A	32	42	32	20	36	123
ABHD17B	300	847	125	382	17	354
ABHD17C	1	13	147	2	0	15
ABHD18	431	1922	792	784	158	776
ABHD2	1996	3569	1482	1705	742	2197
ABHD3	455	538	523	243	456	249
ABHD4	672	1305	436	719	0	1153
ABHD5	839	883	124	317	19	464
ABHD6	48	114	63	61	34	64
ABHD8	9	7	13	5	34	5
ABI1	3483	4519	2089	2650	1497	2993
ABI2	1955	1887	1007	1212	100	1514
ABI3	2123	122	1031	47	1200	344
ABI3BP	26	59	22	39	14	36
ABITRAM	5	658	358	324	1	330
ABL1	12	411	146	187	162	328
ABL2	82	837	611	563	877	738
ABLIM1	8577	5414	4021	4539	3294	5438
ABLIM2	1	17	3	20	3	2
ABLIM3	55	30	1	2	0	8
ABO	24	274	19	64	31	72
ABR	897	1059	416	667	61	925
ABRA	21	58	85	54	16	32
ABRACL	6983	9330	3280	5218	2585	4891
ABRAXAS1	877	706	421	492	145	523
ABRAXAS2	722	823	523	632	1	694
ABT1	2383	3146	1691	1921	596	2264
ABTB1	1813	2422	1556	1356	1440	1575
ABTB2	0	146	5	35	0	102
AC000089.1	5	3	1	1	15	0
AC000120.3	0	4	0	2	27	6
AC000367.1	22	31	7	16	12	19
AC001226.2	190	292	127	243	100	277
AC002059.3	0	5	0	10	0	9
AC002075.2	3	7	4	6	0	4
AC002472.2	25	56	56	35	1	24
AC002472.3	0	5	0	1	0	4
AC002543.1	6	63	99	34	0	53
AC002558.1	2	112	94	49	0	62
AC003002.2	26	70	20	18	5	19
AC003002.3	0	18	0	23	0	11
AC003005.1	19	29	0	0	0	14
AC003006.1	18	32	13	15	0	10
AC003042.2	1	8	0	6	307	2
AC003071.1	15	3	0	5	0	4
AC003072.1	3	147	23	34	3	33
AC004024.1	3	49	14	25	69	14
AC004057.1	66	189	18	5	5	0
AC004076.1	0	4	5	5	0	0
AC004129.2	3	0	0	3	2	2
AC004383.1	0	8	1	2	0	2
AC004386.1	7	6	4	7	4	4
AC004453.1	10	13	7	9	2	9
AC004552.1	0	3	3	0	9	3
AC004556.3	0	0	16	11	0	19
AC004584.2	2	8	1	5	0	3
AC004687.2	18	58	20	15	0	22
AC004696.1	130	116	37	51	11	82
AC004801.1	61	37	18	9	0	48
AC004801.2	3	2	1	0	0	4
AC004832.3	0	12	0	0	0	0
AC004858.1	0	5	0	4	0	3
AC004865.1	86	21	34	30	0	36
AC004884.1	2	1	26	1	1	2
AC004890.1	162	322	173	211	116	168
AC004890.2	11	75	14	18	38	48
AC004898.1	0	5	0	6	0	2
AC004910.1	50	81	54	74	44	61
AC004922.1	1825	2299	763	1169	1564	1265
AC004923.1	0	14	14	7	0	11
AC004951.2	1	91	19	57	2	76
AC004951.3	0	15	2	7	1	8
AC004967.1	50	16	29	7	119	15
AC004975.1	0	7	2	2	79	7
AC004980.3	5	63	27	21	32	31
AC004980.6	224	216	145	190	177	173
AC004980.7	0	4	0	6	0	10
AC004997.1	220	45	31	26	0	66
AC005041.1	246	494	313	272	220	374
AC005077.1	37	2	0	2	0	4
AC005086.3	6	41	24	16	6	29
AC005086.4	105	247	135	198	180	130
AC005086.5	4	17	12	17	7	17
AC005099.1	3	2	0	0	2	3
AC005104.2	0	2	0	11	0	0
AC005154.2	30	114	82	64	42	55
AC005154.5	0	94	49	59	0	29
AC005156.1	5	4	0	3	0	1
AC005165.2	2	2	1	3	1	2
AC005176.1	17	93	56	64	52	50
AC005183.1	0	33	0	16	0	49
AC005189.1	0	8	0	2	0	2
AC005244.1	0	4	0	5	0	6
AC005252.4	16	47	37	28	15	57
AC005262.1	2	2	4	5	1	1
AC005300.1	1	1	10	7	0	3
AC005324.3	0	14	40	11	0	31
AC005410.1	1	24	35	21	13	24
AC005476.1	0	15	7	27	0	16
AC005515.1	3	16	5	8	2	1
AC005520.3	0	49	27	34	0	25
AC005531.1	71	141	102	123	80	96
AC005587.1	10	7	3	6	1	7
AC005632.4	23	0	0	1	0	0
AC005670.2	318	216	107	115	131	441
AC005702.1	82	132	69	60	105	72
AC005726.1	7	0	11	0	61	10
AC005776.1	0	88	25	47	0	19
AC005828.6	0	2	10	2	0	2
AC005828.7	0	0	12	0	0	1
AC005832.4	940	1441	721	775	463	834
AC005833.1	992	1206	615	717	361	723
AC005840.1	0	0	3	7	0	3
AC005865.1	29	42	33	33	11	40
AC005912.1	6	6	7	9	0	12
AC006001.3	645	2948	1498	1593	827	2001
AC006001.4	10	35	18	47	0	0
AC006023.2	0	10	0	7	0	5
AC006030.1	0	9	0	13	0	12
AC006033.1	0	29	0	21	0	20
AC006042.2	0	16	31	18	1	21
AC006064.6	0	0	348	0	0	165
AC006116.8	68	168	0	58	0	25
AC006122.1	2	6	3	7	5	8
AC006144.1	30	53	41	35	23	22
AC006195.1	0	0	0	6	0	6
AC006254.1	38	148	96	59	0	26
AC006270.2	0	0	0	13	0	0
AC006349.1	1	8	0	7	0	0
AC006445.1	0	2	3	4	0	1
AC006445.2	6	11	3	13	3	6
AC006449.4	59	153	67	88	53	57
AC006453.3	109	230	18	190	0	74
AC006480.2	0	7	0	0	0	3
AC006504.3	0	10	0	11	0	13
AC006509.1	42	77	89	40	30	45
AC006518.4	0	38	1	17	0	27
AC006529.1	88	3	0	5	0	9
AC006539.1	3	2	4	0	3	1
AC006978.1	26	291	48	197	236	203
AC007000.2	95	24	48	10	1	1
AC007000.3	0	22	57	11	0	12
AC007016.1	1	2	2	5	4	1
AC007040.2	53	110	68	74	47	60
AC007066.1	3	5	6	9	0	2
AC007068.1	627	939	681	593	468	885
AC007151.1	0	3	20	0	0	0
AC007160.1	1	2	3	7	0	0
AC007161.1	1	1	1	13	3	0
AC007182.2	3	2	4	0	0	6
AC007192.1	14	6	7	0	13	0
AC007229.1	4	7	0	0	0	6
AC007238.1	1	0	3	3	0	3
AC007318.3	50	91	101	60	5	91
AC007325.1	0	50	39	33	29	38
AC007325.4	27	1	0	15	0	7
AC007326.4	471	1390	930	829	494	825
AC007342.3	52	126	74	104	33	109
AC007347.2	4	24	22	21	2	22
AC007365.2	12	1	0	2	0	0
AC007386.1	0	3	8	3	0	4
AC007424.1	9	27	24	25	21	21
AC007494.1	0	3	42	10	0	2
AC007537.1	6	4	7	18	12	10
AC007546.3	168	396	201	195	154	247
AC007618.1	0	3	0	7	5	0
AC007683.1	7	22	33	11	5	8
AC007685.1	3	13	3	5	12	4
AC007686.1	13	12	9	3	9	8
AC007688.2	51	11	6	10	5	6
AC007731.2	0	1	68	0	0	7
AC007738.1	3	5	2	3	1	0
AC007842.1	1	3	0	14	1	10
AC007906.2	16	19	9	12	7	9
AC007919.1	11	0	0	3	0	0
AC007954.1	0	42	0	13	0	9
AC008012.1	260	376	218	178	26	190
AC008013.2	28	80	24	62	53	26
AC008026.2	4	1	1	3	0	2
AC008038.1	627	924	0	15	9	25
AC008072.1	11	24	17	22	20	10
AC008073.3	65	91	48	54	45	41
AC008105.2	1	13	8	15	1	21
AC008132.1	28	45	36	19	389	14
AC008134.1	1	0	4	5	0	1
AC008267.2	5	55	65	52	10	59
AC008267.3	0	10	3	19	0	4
AC008267.4	18	7	0	14	0	4
AC008267.6	0	17	15	11	0	10
AC008417.1	0	23	0	14	0	20
AC008429.4	8	2	0	4	0	4
AC008481.1	6	7	0	3	3	6
AC008481.2	0	22	3	9	4	14
AC008489.1	0	4	3	1	0	3
AC008507.1	56	9	0	22	0	13
AC008565.1	16	28	18	32	8	26
AC008567.1	24	28	32	14	29	22
AC008581.2	6	0	16	35	2	0
AC008608.1	11	42	24	27	0	30
AC008626.1	3	22	9	10	0	6
AC008626.2	0	9	4	8	14	5
AC008638.2	12	3	1	0	0	0
AC008676.3	0	30	21	17	0	29
AC008677.2	5	2	2	5	0	0
AC008716.1	1	2	0	2	2	3
AC008750.8	58	60	17	0	33	33
AC008751.1	0	1	16	3	71	6
AC008752.4	0	3	1	3	0	3
AC008753.1	53	66	32	48	1	57
AC008758.1	61	169	250	108	68	159
AC008758.4	24	98	50	119	53	100
AC008758.6	17	74	32	45	37	51
AC008763.2	297	107	54	63	36	55
AC008770.2	17	56	29	33	14	50
AC008799.1	8	11	5	8	6	10
AC008802.1	13	15	8	13	6	11
AC008813.1	6	5	1	3	0	1
AC008850.2	13	14	3	5	0	9
AC008958.1	0	12	0	12	0	2
AC008982.1	327	41	43	0	0	0
AC009022.2	0	15	0	6	50	9
AC009053.2	280	752	601	527	85	550
AC009093.3	85	238	110	208	36	161
AC009093.8	20	58	57	60	1	66
AC009093.9	320	653	389	575	1	608
AC009108.1	2	6	1	5	0	3
AC009117.1	7	1	3	4	0	3
AC009120.1	0	89	44	53	132	46
AC009153.1	0	21	0	37	94	22
AC009163.5	193	88	13	23	45	62
AC009220.1	2	8	2	3	0	2
AC009220.2	42	90	51	35	31	48
AC009237.3	4	48	4	12	0	22
AC009452.1	3	26	10	17	12	23
AC009474.2	4	14	7	7	1	5
AC009533.1	4	155	319	99	2	118
AC009533.3	0	7	13	2	0	0
AC009542.2	1	12	4	7	13	10
AC009570.2	14	17	19	8	18	13
AC009690.1	0	42	0	17	2	22
AC009779.4	19	376	110	182	897	305
AC009879.1	47	68	46	67	86	45
AC009879.2	0	19	0	10	4	6
AC009879.3	0	14	10	25	0	18
AC009927.1	0	3	2	11	0	7
AC009961.2	0	4	18	2	0	1
AC009963.2	0	7	0	5	0	3
AC010099.1	6	5	7	2	1	1
AC010132.3	864	306	418	361	0	233
AC010182.1	0	2	0	0	0	8
AC010186.2	2097	3323	1807	2061	1811	2759
AC010197.2	9	49	31	24	10	43
AC010203.1	2	47	1	55	1	51
AC010240.3	5	128	4	38	2	79
AC010287.1	0	2	25	5	0	5
AC010301.1	1	0	0	5	1	3
AC010319.1	136	468	236	287	232	228
AC010323.1	16	0	2	0	0	2
AC010325.1	5	18	24	17	9	14
AC010326.2	123	118	48	111	110	115
AC010326.4	12	497	243	320	0	146
AC010329.2	36	54	53	43	37	48
AC010332.3	19	43	25	37	35	55
AC010343.1	6	3	4	3	0	4
AC010409.1	5	3	2	1	3	0
AC010422.3	188	124	97	64	31	78
AC010422.6	645	834	547	679	953	786
AC010422.8	646	2537	1388	1222	465	1277
AC010469.1	6	149	109	127	4	149
AC010469.2	3	8	1	3	2	6
AC010522.1	0	29	23	21	0	26
AC010542.3	0	6	2	7	0	14
AC010547.4	0	25	48	31	0	32
AC010614.1	5	3	0	2	0	2
AC010615.1	0	35	12	28	11	46
AC010618.1	1	3	26	7	0	1
AC010619.2	36	22	20	3	23	19
AC010627.1	0	23	0	21	0	15
AC010655.3	0	6	0	3	0	3
AC010683.1	2	5	3	0	1	1
AC010724.2	0	0	11	0	0	0
AC010867.1	24	83	45	48	39	55
AC010886.1	33	56	22	48	9	47
AC010970.1	6110	7456	5971	7873	6038	9970
AC011043.1	720	343	458	449	3	1023
AC011043.3	11	5	10	5	0	10
AC011290.2	0	4	0	3	0	4
AC011295.1	12399	14924	8364	11944	0	21
AC011330.1	0	0	170	59	0	20
AC011342.1	4	44	26	21	0	16
AC011416.2	3	1	3	4	3	0
AC011444.4	3	7	3	4	2	2
AC011448.1	298	522	222	356	48	272
AC011458.1	0	12	0	4	0	2
AC011462.1	161	654	571	455	0	734
AC011467.4	0	0	0	0	0	13
AC011475.1	168	364	261	252	249	259
AC011476.11	124	127	9	83	0	74
AC011487.1	0	0	7	4	0	0
AC011487.2	26	65	44	52	29	38
AC011495.1	3	5	18	0	17	6
AC011497.2	14	17	8	8	0	12
AC011498.4	37	35	13	31	32	26
AC011498.5	3	7	16	3	0	3
AC011506.1	2	0	2	4	2	0
AC011511.1	21	81	17	10	26	26
AC011511.4	68	431	122	212	0	200
AC011611.5	31	0	30	0	0	0
AC011825.1	0	6	1	1	0	2
AC011891.3	0	15	24	18	0	16
AC011921.3	45	28	38	15	0	17
AC011933.1	77	88	13	72	0	34
AC011939.1	1904	3478	1651	1555	3544	3931
AC011979.1	11	13	1	10	0	10
AC012065.2	2	3	1	7	6	6
AC012158.1	10	47	47	38	22	35
AC012184.2	196	139	0	0	0	57
AC012213.5	16	27	0	33	3	9
AC012254.2	347	403	142	234	71	201
AC012254.4	0	19	10	10	2	12
AC012309.1	162	333	210	194	0	249
AC012314.13	0	838	45	590	582	735
AC012358.3	150	17	53	11	0	18
AC012433.1	0	0	0	0	16	0
AC012435.2	109	258	199	199	110	225
AC012441.1	1	45	43	14	9	10
AC012441.2	0	32	14	5	0	12
AC012488.2	0	0	0	0	0	16
AC012513.2	0	5	2	9	3	3
AC012519.1	4	2	1	7	1	5
AC012569.1	0	0	0	8	0	16
AC012618.2	2	82	42	51	1	52
AC012618.3	0	20	6	24	0	17
AC012651.1	0	25	65	19	1	31
AC013244.2	0	2	0	1	27	1
AC013271.1	30	43	17	25	3	14
AC013356.1	1	15	7	6	4	5
AC013394.1	54	633	118	324	294	286
AC013399.1	0	13	0	0	0	8
AC013404.1	5	5	5	9	10	5
AC013429.1	2	6	2	2	0	0
AC013452.2	0	5	1	4	2	0
AC013470.2	13	30	15	23	12	14
AC013474.1	46	49	13	25	51	39
AC013489.1	0	3	5	0	0	31
AC013553.1	12	1	1	0	8	0
AC015688.4	80	78	54	0	41	16
AC015720.3	9	4	5	2	0	1
AC015802.6	1474	2117	1011	1425	80	1379
AC015813.2	0	240	184	73	87	176
AC015818.5	12	5	3	12	0	5
AC015910.1	15	10	5	8	3	15
AC015911.4	0	6	3	11	0	5
AC015911.7	10	4	2	1	0	17
AC015911.8	42	72	51	55	74	31
AC015977.1	1	3	3	1	1	1
AC016065.2	59	75	21	30	133	39
AC016546.1	3	3	1	1	0	2
AC016559.2	0	11	0	3	0	4
AC016559.3	0	100	109	50	0	97
AC016582.1	3	8	4	3	2	3
AC016582.2	0	35	0	21	108	11
AC016582.3	134	250	139	190	135	210
AC016629.3	304	103	23	85	23	92
AC016687.1	2	8	0	2	2	3
AC016700.1	0	10	0	0	10	0
AC016739.1	16	38	10	30	2	4
AC016769.1	0	12	0	5	0	4
AC016769.3	0	4	0	4	0	5
AC016894.1	28	5	1	12	1	18
AC016954.1	0	7	0	3	0	10
AC016957.1	0	9	0	2	0	0
AC016999.2	18	0	0	0	0	0
AC017007.4	8	6	21	5	0	2
AC017083.3	638	201	46	99	80	183
AC017099.1	0	14	10	17	0	4
AC017104.2	0	4	12	1	24	2
AC017104.4	0	0	0	11	0	1
AC017104.5	0	11	0	3	0	0
AC018362.3	64	170	218	70	160	92
AC018475.1	4	1	2	1	10	0
AC018523.1	3	27	8	8	25	18
AC018523.2	0	22	0	10	0	0
AC018630.2	0	0	142	0	123	74
AC018635.1	0	39	0	14	0	53
AC018638.1	0	31	23	16	68	10
AC018638.2	0	8	37	5	0	12
AC018638.4	0	27	40	18	0	36
AC018638.5	5	170	137	89	329	103
AC018638.8	0	2	1	3	2	4
AC018644.1	36	143	34	59	0	82
AC018695.1	2	1	4	2	0	1
AC018714.1	33	0	0	1	0	2
AC018755.2	0	67	48	0	0	0
AC018797.1	19	2	0	0	0	2
AC018797.2	0	0	0	7	0	8
AC019084.1	5	5	4	4	2	4
AC019117.4	0	19	0	0	0	5
AC019206.1	0	10	0	8	0	4
AC020550.1	0	6	2	1	0	6
AC020612.1	1	8	0	9	1	16
AC020658.1	4	11	4	2	0	3
AC020779.1	65	146	81	132	100	103
AC020899.1	9	14	5	17	5	2
AC020904.2	0	27	5	21	0	5
AC020914.5	49	5	0	1	0	7
AC020915.1	0	67	0	42	0	0
AC020915.5	0	280	304	157	0	261
AC020917.1	98	47	2	14	0	28
AC021074.1	10	5	1	7	1	4
AC021087.2	0	16	2	6	0	3
AC021106.1	0	11	0	11	0	10
AC021106.2	2	2	2	3	0	1
AC021148.1	0	7	0	2	1	0
AC021171.2	59	28	0	16	0	19
AC021443.3	11	0	0	0	0	0
AC021723.1	1	18	1	7	121	24
AC022001.1	0	8	0	2	0	1
AC022018.1	23	10	10	21	12	8
AC022022.2	0	0	8	1	0	3
AC022034.2	7	2	0	6	2	0
AC022069.1	0	2	0	9	1	0
AC022080.2	33	74	52	46	40	68
AC022137.3	143	347	181	207	37	151
AC022149.1	30	101	0	0	0	94
AC022182.3	0	15	1	2	6	7
AC022400.4	0	18	18	3	0	3
AC022400.7	18	150	0	86	0	78
AC022415.2	184	418	444	335	285	213
AC022432.1	0	13	0	0	0	0
AC022447.4	0	8	0	2	0	17
AC022506.1	59	141	44	51	54	90
AC022730.2	1	8	4	6	2	0
AC022748.2	0	1	1	4	0	4
AC022826.1	73	37	79	26	6	11
AC022826.2	64	54	38	0	0	65
AC022916.4	0	12	0	0	0	1
AC022968.1	2	0	0	0	6	2
AC023050.3	0	7	13	4	0	4
AC023050.5	7	14	10	13	10	7
AC023055.1	1283	1550	727	888	430	894
AC023194.2	2	1	2	1	0	6
AC023271.2	0	0	23	4	0	0
AC023389.3	0	184	131	165	0	107
AC023424.1	1	3	1	7	0	1
AC023491.2	10	0	3	3	0	0
AC023509.5	0	5	0	4	0	14
AC023512.1	5	0	6	6	0	1
AC023632.1	0	2	4	3	2	3
AC023794.5	3	34	93	63	0	15
AC023825.1	0	4	25	7	0	1
AC024293.1	0	0	5	6	20	0
AC024405.2	6	2	0	0	0	2
AC024451.1	3	3	4	1	2	4
AC024451.2	0	25	42	2	0	8
AC024451.3	1	6	0	1	0	5
AC024560.2	1	5	32	6	0	3
AC024568.1	17	160	115	103	11	74
AC024592.3	12	109	91	65	16	127
AC024940.2	4	0	10	7	0	2
AC024940.3	9	10	21	10	5	16
AC024940.4	3	9	0	6	0	12
AC024940.7	0	10	1	8	42	7
AC025040.2	0	12	0	0	0	1
AC025165.3	0	0	0	38	0	16
AC025165.6	37	0	0	0	0	0
AC025198.1	0	17	0	1	0	1
AC025271.1	0	3	1	0	50	100
AC025279.2	0	18	16	19	0	7
AC025283.2	0	15	32	10	0	20
AC025423.2	222	297	133	188	354	269
AC025449.1	0	24	22	16	114	20
AC025458.1	0	2	8	1	0	4
AC025459.1	0	3	0	1	3	3
AC025518.1	0	6	0	3	0	2
AC025588.1	0	2	0	2	0	8
AC026111.1	0	6	1	7	0	1
AC026117.1	0	3	22	1	0	0
AC026150.3	25	27	0	0	0	21
AC026316.4	14	31	36	31	22	36
AC026402.1	2	13	0	4	0	7
AC026403.1	420	402	66	557	0	66
AC026410.1	13	14	5	6	17	4
AC026412.1	124	56	27	42	0	14
AC026464.4	0	0	0	22	225	0
AC026464.5	0	4	0	8	0	1
AC026477.1	2	7	7	8	2	5
AC026877.1	321	391	119	154	56	205
AC026954.2	0	106	0	49	23	77
AC027176.2	0	20	7	6	0	10
AC027559.1	2	57	15	51	1	31
AC027575.1	262	67	43	103	0	46
AC027601.1	70	128	89	118	71	79
AC027612.2	0	2	3	5	54	6
AC027644.2	0	4	6	4	0	3
AC027644.4	197	428	241	311	14	327
AC027796.3	0	30	19	26	13	15
AC034102.1	0	14	0	6	0	4
AC034207.1	3	9	0	1	1	0
AC034236.1	25	29	12	164	0	0
AC036176.2	62	32	0	19	0	20
AC037487.3	0	5	2	3	0	0
AC040162.1	123	1258	722	869	77	894
AC040162.2	0	2	5	2	8	7
AC040975.1	0	13	0	5	0	16
AC040978.1	41	117	57	110	111	97
AC044787.1	6	9	0	5	23	4
AC044860.1	24	47	29	19	10	32
AC046185.2	91	67	26	54	23	25
AC048338.1	0	13	0	0	0	0
AC048338.2	139	145	121	111	6	141
AC048351.2	25	49	18	15	5	32
AC051619.1	9	40	24	28	28	20
AC051619.2	9	20	6	12	11	13
AC055733.3	0	0	0	1	12	3
AC055839.1	0	42	2	7	0	35
AC055839.2	0	42	0	15	0	3
AC055876.4	0	13	0	19	0	9
AC058823.1	0	12	0	0	0	6
AC060766.1	1	79	81	71	2	60
AC060766.5	0	39	159	33	0	31
AC060780.2	1	26	14	9	3	33
AC060780.3	0	8	0	0	0	2
AC061975.3	18	0	0	1	0	0
AC062037.4	18	41	24	12	19	37
AC063950.1	0	13	43	8	0	8
AC063976.2	36	52	20	40	66	55
AC063977.1	0	8	0	4	0	9
AC064799.1	4	2	4	0	0	2
AC064847.1	0	0	10	13	0	6
AC064862.6	0	1	7	2	0	3
AC067752.1	4	13	6	5	2	12
AC067942.1	14	35	15	28	13	17
AC067968.1	0	0	73	0	0	0
AC068044.1	0	3	4	2	4	1
AC068050.1	1	10	13	22	0	48
AC068134.3	0	5	0	5	0	6
AC068279.1	0	15	44	6	0	8
AC068446.1	0	0	19	0	0	5
AC068533.4	10	457	325	231	297	450
AC068547.1	71	303	295	144	0	117
AC068580.4	197	55	317	53	1	118
AC068587.8	0	9	13	0	24	1
AC068620.3	21	92	44	60	55	62
AC068631.3	0	47	0	33	53	22
AC068657.2	6	3	10	0	0	0
AC068775.1	97	32	564	137	382	50
AC068790.8	0	1	20	5	0	2
AC068831.8	32	132	37	85	26	90
AC068896.3	1	9	0	4	0	7
AC068946.1	14	45	14	24	14	24
AC068946.2	4	29	0	32	0	17
AC069213.3	1	3	2	3	1	4
AC069218.1	3	4	5	1	3	2
AC069271.1	0	11	0	1	0	0
AC069282.1	0	21	19	13	0	11
AC069304.2	0	6	9	4	0	12
AC069304.3	0	10	5	0	0	8
AC069366.1	0	18	0	25	0	13
AC069431.2	0	0	0	4	0	13
AC069444.2	0	3	0	8	0	0
AC069499.2	0	8	0	7	0	6
AC069503.2	0	0	7	1	0	3
AC069542.2	14	34	32	38	36	18
AC073063.1	2	26	4	9	0	18
AC073065.1	44	184	106	134	101	129
AC073072.1	7	16	14	8	0	9
AC073073.1	0	12	0	8	0	61
AC073082.1	23	57	30	40	16	37
AC073107.1	47	47	46	21	0	36
AC073111.2	0	4	22	5	0	28
AC073111.4	166	171	204	216	763	136
AC073150.1	0	20	0	3	0	16
AC073210.2	0	9	0	2	0	9
AC073261.1	0	0	0	0	23	0
AC073264.2	0	12	9	6	0	2
AC073264.3	0	93	0	0	1	76
AC073325.2	3	3	2	2	0	1
AC073476.1	0	3	1	5	0	2
AC073508.2	96	18	0	39	0	34
AC073551.1	7	38	11	13	34	23
AC073585.1	0	63	0	53	0	69
AC073610.1	0	3	14	5	0	7
AC073610.2	10	95	69	36	74	24
AC073612.1	0	0	18	0	0	0
AC073657.2	2	4	10	2	0	0
AC073861.1	11	35	13	31	2	42
AC073896.1	160	0	5	121	41	141
AC074052.1	3	2	4	1	1	0
AC074141.1	26	65	11	76	54	81
AC074276.1	1	10	5	7	3	2
AC078817.1	3	9	3	3	1	4
AC078899.2	0	0	1	1	7	1
AC078899.4	13	6	2	0	0	2
AC078927.1	89	419	0	72	104	131
AC079140.1	0	4	40	5	0	11
AC079140.2	0	0	14	16	12	10
AC079140.3	0	23	27	20	0	9
AC079140.5	0	13	0	0	0	0
AC079150.1	2	12	11	9	8	3
AC079203.1	0	29	7	5	0	8
AC079250.1	10	10	3	4	5	7
AC079316.1	53	96	102	65	155	81
AC079363.1	24	53	27	33	49	42
AC079414.2	2	11	5	6	30	8
AC079416.2	21	106	34	59	43	63
AC079447.1	7	57	0	52	0	8
AC079594.1	0	3	0	5	0	4
AC079601.3	0	2	8	4	0	1
AC079776.1	0	0	0	0	15	9
AC079781.1	0	2	35	2	2	2
AC079834.1	3	4	1	3	0	4
AC079880.2	205	207	213	211	1	258
AC079922.1	8	3	1	4	0	3
AC079944.1	1	3	3	5	0	0
AC080023.2	9	0	0	7	0	8
AC080112.3	0	0	56	0	0	0
AC083798.1	0	10	0	7	0	3
AC083829.1	0	7	0	3	0	1
AC083873.1	4	2	2	2	0	0
AC083899.1	233	193	96	52	243	126
AC084017.1	89	276	121	245	121	192
AC084024.2	9	25	15	29	0	8
AC084198.3	3	5	4	2	0	2
AC084337.1	0	13	0	7	0	7
AC084337.2	0	13	0	11	62	10
AC084368.1	87	0	59	0	59	0
AC084754.1	1	1	0	2	5	3
AC084824.2	0	48	68	13	0	30
AC084879.2	7	4	0	4	29	5
AC087163.2	0	11	0	5	0	3
AC087257.2	227	147	0	54	0	54
AC087283.1	3	23	22	18	22	17
AC087289.3	20	57	13	36	23	17
AC087312.1	1	3	5	7	4	4
AC087343.1	14	10	14	19	11	5
AC087359.1	1	12	11	15	5	19
AC087385.2	1	2	0	3	2	3
AC087481.1	0	5	0	0	0	5
AC087481.2	0	13	0	4	0	7
AC087498.1	36	8	16	15	0	8
AC087632.2	52	5	0	26	0	8
AC087633.2	4	1	3	3	1	0
AC087721.2	547	787	295	292	1	253
AC087763.2	0	3	0	4	0	3
AC087854.2	33	41	35	9	1	12
AC087894.1	42	124	71	81	52	57
AC089984.2	164	144	88	116	0	62
