	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717
CYB561D2	1196	2803	997	1368	1098	1656
CYB5A	734	1233	824	1021	190	875
CYB5AP2	61	148	110	119	69	123
CYB5B	3206	4869	2024	2597	487	2550
CYB5D1	2	287	199	197	705	313
CYB5D2	266	838	618	907	6	532
CYB5R1	1188	1147	598	1100	619	958
CYB5R2	28	73	28	46	43	33
CYB5R3	2323	2316	1230	1343	1738	1688
CYB5R4	1355	1318	546	729	165	810
CYB5RL	278	1023	529	625	790	649
CYBA	121	157	110	69	49	96
CYBB	0	52	5	16	7	22
CYBC1	3548	3431	3621	1968	1831	2828
CYBRD1	460	483	183	247	65	320
CYC1	451	264	152	120	7	147
CYCS	4394	9281	3462	4690	2250	5432
CYCSP10	0	1	14	0	0	1
CYCSP2	0	0	0	1	0	9
CYCSP34	0	12	11	3	0	2
CYCSP38	4	1	0	3	0	7
CYCSP52	0	8	1	6	0	7
CYFIP1	1203	978	1565	1043	99	952
CYFIP2	5327	6970	5350	5068	1890	6450
CYGB	1	45	47	15	1	30
CYHR1	400	127	147	111	430	193
CYLD	3948	5527	2188	3082	505	4056
CYP11A1	1	11	2	5	0	5
CYP17A1	43	95	55	60	49	96
CYP1A1	1	20	0	3	1	1
CYP1A2	32	115	57	72	53	77
CYP1B1	4	9	3	5	1	5
CYP20A1	899	3935	1467	1930	341	1933
CYP21A1P	6	13	15	9	21	18
CYP21A2	1	16	6	10	4	15
CYP24A1	111	158	162	305	0	47
CYP26A1	0	6	0	11	1	0
CYP26C1	0	0	10	2	0	0
CYP27A1	0	14	0	0	0	8
CYP27B1	0	41	0	22	0	2
CYP27C1	59	146	98	144	76	104
CYP2B6	23	64	12	32	31	35
CYP2B7P	27	90	71	77	32	45
CYP2C19	46	106	31	83	51	45
CYP2C8	0	0	85	12	0	1
CYP2C9	12	12	20	13	9	4
CYP2D6	0	8	0	15	0	9
CYP2D7	0	12	28	11	0	13
CYP2D8P	0	8	0	7	0	10
CYP2E1	82	724	270	736	403	691
CYP2F1	6	24	5	15	1	10
CYP2J2	0	15	0	12	0	11
CYP2R1	693	789	456	491	317	525
CYP2T1P	29	239	218	177	38	142
CYP2U1	180	204	97	96	1	102
CYP2W1	20	45	25	26	10	19
CYP39A1	0	3	0	0	0	8
CYP3A4	1	7	2	1	1	2
CYP3A43	98	175	109	126	90	119
CYP3A5	521	1291	600	801	319	917
CYP46A1	46	135	116	126	69	101
CYP4A11	11	38	0	11	18	7
CYP4A22	2	40	8	12	6	7
CYP4B1	18	31	9	12	23	15
CYP4F11	17	45	22	24	22	37
CYP4F12	5	1	3	0	4	0
CYP4F22	804	113	251	57	411	144
CYP4F29P	0	3	8	10	0	22
CYP4F3	37	49	34	38	32	44
CYP4F30P	1	38	22	24	3	16
CYP4F35P	0	8	5	22	0	10
CYP4F60P	0	0	0	10	0	4
CYP4F8	63	213	154	148	125	199
CYP4V2	466	786	556	683	1275	474
CYP51A1	1107	1639	788	984	740	1045
CYP7B1	153	91	0	7	0	20
CYP8B1	31	54	22	27	10	22
CYREN	618	661	281	422	918	525
CYRIA	6	9	198	27	2	31
CYRIB	1573	1975	1569	1186	1082	1432
CYSLTR1	2094	4626	2213	3789	1639	3371
CYSLTR2	617	216	71	102	1	107
CYSRT1	0	2	110	2	0	6
CYSTM1	664	437	434	228	10	272
CYTH1	705	1240	922	467	728	1053
CYTH2	1126	604	314	358	617	687
CYTH3	197	183	3	59	205	133
CYTH4	4185	5968	3020	3307	2745	4556
CYTIP	13304	14862	10404	9463	7157	10518
CYTL1	0	0	34	2	0	3
CYYR1	382	131	11	75	0	33
CZIB	924	2099	861	1212	780	1090
D2HGDH	127	182	180	95	118	57
DAAM1	1549	3546	1013	1558	2	1539
DAAM2	29	105	71	95	83	78
DAB2	1	30	12	55	2	22
DAB2IP	1	0	0	0	567	2
DACH1	311	232	84	255	0	272
DACH2	5	11	2	9	0	0
DACT3	284	806	420	478	313	489
DAD1	5376	7572	3409	4489	2781	4831
DAG1	428	159	34	73	501	125
DAGLB	402	889	642	445	46	533
DALRD3	14	390	70	154	594	145
DAND5	117	305	182	193	119	198
DAP	243	890	624	634	22	655
DAP3	3518	4939	2264	2976	1497	2936
DAP3P1	0	2	10	1	0	2
DAP3P2	33	7	0	6	0	3
DAPK1	0	6	0	20	37	29
DAPK2	562	584	396	336	239	309
DAPK3	8	71	21	17	0	24
DAPL1	40	59	36	28	14	22
DAPP1	2321	3903	2450	3328	56	2698
DARS1	5210	5662	2690	3560	538	3295
DARS2	769	518	364	373	75	358
DAW1	11	28	9	5	6	0
DAXX	4848	9734	3145	4384	1358	5852
DAZAP1	75	451	127	156	20	179
