GeneName	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717	SRR4290846	SRR4290852	SRR4290853	SRR4290854
A1BG	876	508	575	276	222	387	774	777	474	639
A1CF	1	8	5	6	4	7	36	31	38	67
A2M	20	50	44	66	0	21	1122	638	172	44
A2ML1	37	84	76	102	49	65	80	90	78	110
A2MP1	0	21	1	4	0	3	273	168	11	5
A4GALT	67	203	91	122	96	134	140	121	129	123
AAAS	177	2475	699	1072	543	1379	1003	1615	4511	2515
AACS	784	1448	935	989	533	1004	1178	1261	1149	1337
AADACL3	0	2	0	1	0	0	5	3	2	1
AADAT	0	7	1	7	0	7	35	15	25	38
AAGAB	2657	2725	1427	1910	630	1596	352	190	566	608
AAK1	7419	12150	4923	4870	2415	6876	9322	8067	3510	3665
AAMDC	559	852	557	549	177	557	607	648	576	684
AAMP	4426	4651	2509	2813	716	3130	302	249	1029	424
AANAT	18	10	0	22	0	4	2	18	3	8
AAR2	4050	3647	1535	2230	649	2196	622	372	930	1086
AARD	43	127	72	103	57	89	435	516	333	365
AARS1	4762	3127	1979	2143	1546	2077	621	652	5559	4448
AARS2	76	429	128	309	705	448	475	377	852	772
AARSD1	1032	2229	1403	1246	126	1174	330	210	841	892
AASDH	480	1638	441	832	282	861	170	55	65	45
AASDHPPT	2967	3662	1924	2227	2	2649	100	170	507	359
AASS	18	363	537	562	57	339	1113	1230	394	465
AATF	1156	1958	1142	969	585	1144	2282	2506	7255	5975
AATK	4	68	1	11	1	27	0	2	0	4
ABAT	87	556	296	368	88	315	659	723	497	543
ABCA1	3318	6820	1980	3412	1967	6516	675	232	427	257
ABCA10	0	24	13	11	0	50	74	21	40	12
ABCA11P	9	178	72	47	0	45	41	83	105	31
ABCA12	0	0	0	2	0	0	0	3	9	7
ABCA13	25	101	72	48	45	52	219	156	139	149
ABCA17P	13	45	26	32	5	42	17	15	13	10
ABCA2	167	396	771	114	1	163	804	1311	260	348
ABCA3	23	99	9	54	3	83	227	197	140	179
ABCA5	1322	1866	734	912	39	1164	762	710	600	576
ABCA6	32	197	25	118	46	83	367	255	197	223
ABCA7	446	298	207	124	255	168	656	1362	109	71
ABCA8	25	87	27	48	6	37	853	1012	420	657
ABCA9	56	200	122	120	85	128	554	332	198	271
ABCB1	3242	3701	2039	1993	3582	4574	141	265	67	83
ABCB10	9	659	170	330	1	356	399	322	782	537
ABCB11	31	61	31	37	15	29	76	95	74	123
ABCB4	0	4	0	10	0	9	9	48	24	4
ABCB5	217	713	287	417	44	817	819	971	388	913
ABCB6	4	61	5	86	0	37	42	40	305	498
ABCB7	1331	2242	1339	1923	216	2044	497	571	776	834
ABCB8	618	643	375	230	484	349	368	462	912	1345
ABCB9	595	209	234	168	103	191	657	569	390	589
ABCC1	881	3029	2355	2283	1677	2373	1638	1905	2558	2906
ABCC10	1562	1802	1334	1316	979	1422	1559	1398	1228	1588
ABCC11	32	46	28	35	0	27	44	115	28	35
ABCC13	8	13	7	7	4	3	7	2	11	21
ABCC2	30	72	78	72	26	79	172	160	135	138
ABCC3	54	141	91	91	314	104	209	233	135	163
ABCC4	158	522	527	470	431	348	316	358	879	917
ABCC5	514	794	1335	605	0	637	463	431	570	455
ABCC6	110	267	113	190	29	166	387	283	228	306
ABCC6P1	0	6	22	5	0	0	0	0	0	0
ABCC8	15	62	23	32	38	18	84	63	35	56
ABCC9	161	286	206	205	86	168	1124	1204	602	997
ABCD1	45	21	6	9	10	13	90	86	21	133
ABCD2	166	59	209	130	0	72	333	468	13	25
ABCD3	483	429	667	340	41	644	334	294	2294	1159
ABCD4	1584	2305	1249	1679	1809	2681	1207	1118	613	988
ABCE1	2591	2444	1687	1664	31	1547	1408	1205	7626	7063
ABCF1	3088	5917	1240	1672	1894	2983	2944	1813	12856	13491
ABCF2	5327	6428	2407	2931	1108	4013	866	383	4603	4982
ABCF3	783	3345	940	1719	480	2677	1005	524	1178	969
ABCG1	106	269	278	294	151	184	1558	1543	711	814
ABCG2	1	228	539	583	1	394	9	16	10	35
ABCG4	2	0	0	0	0	0	10	0	0	0
ABCG5	7	19	8	10	14	12	15	18	23	33
ABCG8	38	68	38	39	21	39	97	126	104	149
ABHD1	621	136	376	192	62	147	188	203	360	281
ABHD10	1042	984	242	587	226	593	744	532	1458	1509
ABHD11	129	228	712	139	71	321	589	671	476	512
ABHD11-AS1	0	0	0	0	0	6	6	11	14	2
ABHD12	72	171	68	66	3	33	226	147	333	276
ABHD12B	19	113	83	75	30	79	544	814	406	695
ABHD13	1271	388	187	257	78	561	295	307	391	449
ABHD14A	376	333	193	224	347	307	102	183	137	202
ABHD14A-ACY1	0	260	111	212	1011	163	1	0	57	34
ABHD14B	1136	2037	933	1030	541	1026	1568	1850	852	775
ABHD15	3207	7402	3371	4000	3698	7604	224	278	373	270
ABHD16A	1140	1715	451	990	499	1321	492	524	498	846
ABHD16B	0	0	1	0	0	2	27	16	13	12
ABHD17A	45	39	28	25	65	63	754	1074	701	551
ABHD17B	250	728	105	332	13	310	528	412	583	552
ABHD17C	1	10	106	1	0	9	33	52	288	111
ABHD18	346	2299	624	800	65	900	1941	1899	1569	1713
ABHD2	2473	2949	2700	1683	338	2164	2011	2235	4388	2615
ABHD3	246	547	282	200	1483	324	305	429	268	215
ABHD4	972	3267	193	1060	0	2472	606	432	27	60
ABHD5	1442	647	317	362	10	443	405	311	495	643
ABHD6	45	126	48	67	47	63	101	110	99	137
ABHD8	7	6	11	4	26	4	27	52	31	22
ABI1	2573	3660	1813	2149	1370	2411	3634	4334	2989	3560
ABI1P1	0	0	0	0	0	1	1	1	17	1
ABI2	2068	1338	801	786	204	1181	3322	2351	3484	2802
ABI3	2037	142	1068	46	1248	334	326	159	434	433
ABI3BP	25	68	29	57	26	55	62	77	37	83
ABITRAM	3	561	304	413	1	280	217	154	483	376
ABL1	11	500	149	280	144	524	528	774	1873	950
ABL2	68	1013	483	693	619	617	2862	1833	1380	1714
ABLIM1	7084	8063	4279	6112	4210	6874	10830	8266	4229	3646
ABLIM2	1	26	16	16	3	2	59	17	7	7
ABLIM3	41	60	2	3	0	11	0	0	1	5
ABO	19	598	15	161	22	58	27	1536	35	395
ABR	559	863	418	1120	75	688	1186	3898	3670	1562
ABRA	19	54	78	51	14	30	65	38	42	40
ABRACL	6101	8165	2851	4691	2067	4351	101	105	292	227
ABRAXAS1	864	535	304	390	101	429	1970	2138	1312	1331
ABRAXAS2	668	761	479	593	1	648	181	228	789	644
ABT1	2464	3244	1723	1995	574	2359	281	199	365	337
ABT1P1	0	0	0	0	0	0	0	12	17	11
ABTB1	1567	2377	1506	1371	1420	1575	903	435	19	49
ABTB2	0	167	5	47	0	114	19	25	386	171
AC000078.1	0	0	0	0	0	0	10	66	4	5
AC000081.1	3	1	0	4	0	1	1	0	1	0
AC000089.1	7	4	2	2	19	0	5	1	6	5
AC000095.1	0	0	0	4	0	3	7	0	0	0
AC000120.3	0	4	0	2	26	6	19	27	14	37
AC000120.4	0	0	0	0	0	0	0	0	9	10
AC000367.1	17	24	5	12	8	15	76	52	28	64
AC001226.2	193	286	132	221	107	249	618	490	467	588
AC002059.3	0	4	0	8	0	7	30	46	43	42
AC002075.2	3	8	4	7	0	5	8	9	7	2
AC002094.3	0	0	0	0	0	0	4	5	10	7
AC002310.3	0	6	0	0	0	1	0	0	19	0
AC002381.1	0	0	0	1	0	1	5	5	6	2
AC002472.2	35	80	79	50	1	35	0	17	4	6
AC002472.3	0	5	0	1	0	4	0	0	0	0
AC002543.1	5	47	74	26	0	40	156	62	33	47
AC002558.1	3	157	130	69	0	88	41	58	14	11
AC002984.1	0	3	0	0	0	0	9	9	7	3
AC003002.2	33	88	24	23	6	24	52	42	50	66
AC003002.3	0	25	0	30	0	13	9	0	0	2
AC003005.1	20	32	0	0	0	15	0	0	0	0
AC003006.1	26	32	14	22	0	15	83	52	64	36
AC003042.2	1	11	0	8	395	3	114	48	28	14
AC003071.1	16	3	0	5	0	4	0	0	0	0
AC003072.1	3	158	25	37	3	36	8	15	8	1
AC003989.1	0	0	0	0	0	0	58	33	41	53
AC003989.2	0	2	0	2	0	0	31	18	39	43
AC004024.1	3	52	15	27	69	15	3	0	0	0
AC004057.1	117	343	33	8	9	0	58	565	996	522
AC004076.1	0	4	6	6	0	0	0	0	8	12
AC004129.2	4	0	0	3	3	3	0	0	2	2
AC004217.2	0	0	0	2	0	2	3	0	1	13
AC004223.1	0	2	0	4	0	1	2	3	1	5
AC004224.1	0	1	2	0	4	2	1	6	1	0
AC004381.3	0	0	0	0	0	1	12	6	2	2
AC004381.4	0	0	0	1	0	0	3	8	1	7
AC004383.1	0	8	1	2	0	2	0	0	0	3
AC004386.1	7	6	4	8	4	4	0	1	6	1
AC004453.1	11	14	7	10	3	10	11	10	6	16
AC004461.2	6	0	0	3	0	0	22	51	36	29
AC004486.1	0	4	2	1	0	2	1	0	1	0
AC004552.1	0	4	3	0	10	3	0	0	0	0
AC004556.3	0	0	17	12	0	21	0	0	0	0
AC004584.2	2	9	1	5	0	3	2	5	0	4
AC004593.2	0	0	0	0	5	0	2	0	0	6
AC004678.1	0	2	0	0	0	0	1	4	3	11
AC004687.2	18	61	21	16	0	23	106	136	24	67
AC004696.1	123	110	35	49	10	78	21	21	31	28
AC004706.2	0	1	0	0	0	2	0	6	1	4
AC004801.1	68	40	20	10	0	54	17	36	32	20
AC004801.2	2	1	1	0	0	3	104	129	111	129
AC004805.1	0	0	0	0	0	0	77	84	0	15
AC004812.1	0	0	0	0	0	0	4	4	25	20
AC004832.3	0	17	0	0	0	0	6	1	0	1
AC004858.1	0	5	0	4	0	3	5	5	0	0
AC004865.1	91	22	36	32	0	39	1	2	9	17
AC004884.1	2	1	28	1	1	2	9	9	4	28
AC004890.1	176	350	186	231	118	185	0	1	0	0
AC004890.2	10	62	11	17	34	40	439	325	156	135
AC004890.3	0	4	0	0	0	3	45	26	48	108
AC004898.1	0	6	0	7	0	3	18	12	50	20
AC004910.1	59	93	62	86	47	71	75	60	65	74
AC004922.1	1660	2114	692	1086	1373	1187	146	105	459	409
AC004923.1	0	16	16	8	0	14	6	19	14	12
AC004951.2	2	125	25	77	3	107	5	13	9	4
AC004951.3	0	21	3	10	1	11	36	22	5	4
AC004967.1	54	17	31	7	122	17	11	21	15	28
AC004975.1	0	8	2	2	81	8	9	14	21	36
AC004980.3	6	68	29	23	33	34	46	62	64	76
AC004980.6	146	297	141	222	108	208	116	85	220	125
AC004980.7	0	5	0	7	0	12	32	13	36	26
AC004987.3	0	4	0	0	0	0	5	4	6	12
AC004997.1	194	40	27	23	0	60	50	30	77	30
AC005014.1	0	0	0	2	2	0	1	0	2	8
AC005020.1	0	3	0	0	4	3	1	2	10	5
AC005041.1	242	494	307	275	200	380	648	592	666	804
AC005070.1	0	2	0	3	0	2	3	3	3	5
AC005070.2	0	0	0	0	0	0	12	3	3	5
AC005077.1	40	2	0	2	0	4	15	6	4	13
AC005077.4	0	1	0	0	1	1	6	8	32	11
AC005084.1	0	0	0	0	0	0	3	1	14	10
AC005086.3	7	45	26	18	6	32	35	26	41	36
AC005086.4	115	269	146	216	184	144	305	363	308	405
AC005086.5	4	19	13	19	7	19	30	39	21	34
AC005088.1	0	2	0	0	0	2	0	1	2	20
AC005094.1	1	2	0	1	0	1	1	0	9	1
AC005099.1	3	2	0	0	2	3	6	19	4	21
AC005104.2	0	2	0	12	0	0	0	0	0	26
AC005154.1	0	0	0	2	0	0	13	7	10	1
AC005154.2	27	103	74	58	36	50	593	589	207	202
AC005154.5	0	84	43	54	0	26	47	52	47	52
AC005156.1	5	4	0	3	0	1	2	2	0	5
AC005165.2	2	2	1	3	1	2	1	1	1	0
AC005176.1	15	81	48	56	42	45	201	165	112	147
AC005183.1	0	22	0	11	0	33	29	75	24	112
AC005189.1	0	8	0	2	0	2	0	0	0	1
AC005230.1	0	0	0	1	0	0	49	78	9	8
AC005244.1	0	4	0	5	0	7	5	5	5	9
AC005252.4	20	60	47	35	17	73	43	55	45	56
AC005258.1	0	0	0	0	0	10	0	0	0	0
AC005262.1	2	2	4	5	1	1	0	0	0	2
AC005300.1	1	1	11	8	0	3	3	6	0	2
AC005324.3	0	15	41	12	0	33	43	71	75	99
AC005351.1	0	0	0	0	0	0	3	0	3	6
AC005410.1	1	27	37	23	13	27	47	48	35	52
AC005476.1	0	17	8	31	0	18	10	15	25	9
AC005515.1	3	13	4	7	2	1	38	63	51	233
AC005520.3	0	51	28	35	0	26	23	19	19	16
AC005531.1	62	120	88	107	65	83	443	474	205	374
AC005587.1	11	8	3	7	1	8	1	4	1	4
AC005632.4	25	0	0	1	0	0	0	1	0	0
AC005670.2	292	197	97	105	112	408	1717	2418	483	671
AC005682.1	1	3	0	2	0	0	45	56	144	274
AC005702.1	90	142	75	67	107	79	0	3	14	2
AC005702.2	0	1	0	1	1	1	18	30	34	26
AC005726.1	7	0	12	0	61	11	8	18	9	7
AC005776.1	0	88	25	48	0	20	1	0	2	4
AC005828.6	0	2	11	2	0	2	2	3	0	0
AC005828.7	0	0	12	0	0	1	0	1	0	0
AC005832.4	1173	1786	879	956	543	1044	3	1	6	0
AC005833.1	1234	1611	812	1052	481	1006	3	8	437	144
AC005840.1	0	0	3	8	0	3	1	0	6	3
AC005840.3	0	1	0	0	0	0	13	56	50	15
AC005865.1	32	47	33	37	12	47	200	214	142	212
AC005912.1	7	7	7	10	0	13	23	2	15	0
AC005972.2	0	0	0	7	0	0	0	6	0	0
AC006001.3	846	2440	1494	1537	941	1865	2837	2888	2559	3240
AC006001.4	11	38	20	52	0	0	0	0	0	0
AC006023.2	0	11	0	8	0	6	0	2	0	0
AC006028.1	1	0	0	0	0	2	1	3	5	2
AC006030.1	0	11	0	15	0	15	97	55	12	27
AC006033.1	0	32	0	23	0	22	0	0	2	0
AC006042.2	0	12	23	14	1	16	94	132	18	20
AC006064.6	0	0	110	0	0	213	396	320	3471	3380
AC006077.1	0	0	0	0	0	0	0	4	2	9
AC006116.8	75	183	0	63	0	28	0	0	0	0
AC006122.1	2	5	4	9	6	10	27	47	18	36
AC006144.1	25	45	34	30	18	19	96	65	55	69
AC006195.1	0	0	0	9	0	9	5	5	1	1
AC006254.1	58	159	97	60	0	41	321	227	145	122
AC006254.3	0	0	0	0	0	0	1	12	49	24
AC006270.2	0	0	0	10	0	0	2	2	0	0
AC006349.1	1	9	0	8	0	0	0	0	0	2
AC006445.1	0	2	3	4	0	1	0	1	0	1
AC006445.2	7	12	3	14	3	7	0	0	0	2
AC006449.4	64	167	72	96	54	62	0	0	0	0
AC006453.3	156	350	27	274	0	108	2	3	13	2
AC006480.2	0	8	0	0	0	3	31	22	9	24
AC006499.1	0	0	0	0	0	0	17	0	1	0
AC006504.3	0	12	0	13	0	16	2	3	6	23
AC006509.1	40	70	81	37	25	42	170	159	154	183
AC006518.4	0	37	1	17	0	27	4	0	0	5
AC006518.5	0	0	0	5	0	2	1	4	0	11
AC006529.1	110	4	0	6	0	12	2	5	23	63
AC006539.1	4	3	5	0	4	1	2	7	3	2
AC006539.2	0	0	0	0	0	0	13	5	8	13
AC006946.1	0	0	0	0	0	0	13	13	6	9
AC006978.1	35	390	64	268	300	275	142	129	68	51
AC006978.2	0	0	0	0	0	1	24	26	0	0
AC007000.2	134	34	67	14	1	1	7	5	4	14
AC007000.3	0	23	59	12	0	13	13	20	11	16
AC007016.1	1	2	2	5	4	1	13	5	6	2
AC007040.2	59	102	68	75	35	110	90	129	261	123
AC007066.1	4	5	6	10	0	2	2	2	14	16
AC007068.1	686	1003	731	650	479	960	199	17	598	544
AC007151.1	0	3	22	0	0	0	15	3	5	6
AC007160.1	1	2	3	8	0	0	0	3	2	11
AC007161.1	1	1	1	12	6	0	50	20	19	28
AC007161.2	0	1	0	0	0	4	4	9	7	29
AC007182.2	3	2	4	0	0	7	1	1	5	2
AC007192.1	15	8	8	0	14	0	90	28	201	140
AC007204.1	0	0	0	0	0	0	1	3	7	1
AC007207.1	0	0	0	0	0	0	16	5	0	1
AC007224.1	0	0	0	0	0	0	4	9	5	2
AC007225.1	0	0	0	0	0	0	0	3	8	6
AC007229.1	5	8	0	0	0	6	0	1	0	0
AC007238.1	1	0	3	3	0	2	19	0	4	0
AC007253.1	0	0	0	0	0	0	0	0	12	0
AC007262.1	0	0	0	0	0	0	2	8	0	0
AC007279.1	0	3	0	2	0	0	2	2	26	18
AC007312.1	0	0	0	0	0	0	0	2	2	10
AC007318.3	41	75	82	50	4	76	195	236	154	160
AC007325.1	0	48	36	31	27	37	69	112	48	75
AC007325.2	0	0	0	0	0	0	16	0	0	1
AC007325.4	35	2	0	20	0	10	2	2	0	0
AC007326.4	426	1267	834	762	418	764	3156	3159	2019	3059
AC007342.3	50	119	65	105	28	99	247	216	225	293
AC007347.2	4	26	23	23	3	24	73	93	42	83
AC007365.2	14	1	0	2	0	0	0	4	2	0
AC007386.1	0	3	8	3	0	4	2	4	1	0
AC007424.1	8	24	21	22	16	19	87	71	98	127
AC007458.1	0	0	0	0	0	0	1	36	0	1
AC007494.1	0	4	54	13	0	3	16	21	4	42
AC007537.1	7	5	8	21	12	11	2	1	0	0
AC007546.3	149	348	175	172	127	220	2466	2581	1580	2213
AC007551.2	0	0	0	0	0	0	9	3	0	3
AC007599.1	0	0	0	0	0	0	17	8	3	6
AC007610.4	0	1	0	0	1	0	4	5	4	1
AC007618.1	0	3	0	8	5	0	0	0	0	0
AC007619.2	0	0	0	0	0	0	5	7	8	14
AC007663.1	0	0	0	0	0	0	0	10	0	5
AC007683.1	8	24	38	12	6	9	7	1	11	6
AC007685.1	3	14	3	5	13	5	2	0	1	0
AC007686.1	14	13	10	3	9	9	0	1	1	0
AC007688.2	52	11	7	10	5	7	31	22	50	32
AC007731.2	0	1	56	0	0	6	22	65	5	15
AC007738.1	3	5	2	3	1	0	1	1	3	3
AC007834.2	1	6	0	0	0	2	8	5	9	26
AC007842.1	1	3	0	12	1	9	251	228	63	102
AC007906.2	19	23	11	15	8	11	23	25	25	47
AC007919.1	12	0	0	4	0	0	1	0	0	12
AC007954.1	0	43	0	13	0	9	1	2	0	3
AC007956.2	0	6	0	5	0	0	27	14	12	19
AC008012.1	254	366	212	176	23	188	197	205	333	230
AC008013.2	34	92	32	70	46	27	174	165	111	177
AC008013.3	1	0	0	0	0	0	3	14	8	7
AC008013.4	0	0	3	0	0	0	3	1	23	3
AC008026.1	0	0	1	2	0	4	6	2	9	8
AC008026.2	4	1	1	3	0	2	3	2	2	0
AC008038.1	549	794	0	13	7	22	34	592	106	659
AC008040.2	0	1	0	0	0	0	0	2	0	13
AC008072.1	12	25	18	23	20	11	110	84	94	100
AC008073.3	54	76	40	45	35	35	285	234	146	262
AC008105.2	1	21	7	26	1	40	8	21	17	7
AC008132.1	31	103	39	21	398	15	113	134	124	89
AC008134.1	1	0	4	5	0	1	0	0	0	1
AC008147.3	0	0	4	0	0	0	0	0	6	19
AC008264.1	1	1	0	1	0	4	1	0	0	12
AC008267.2	6	73	87	70	13	80	18	13	29	35
AC008267.3	0	11	3	21	0	5	4	1	3	3
AC008267.4	22	9	0	17	0	5	13	12	6	17
AC008267.6	0	17	15	11	0	10	6	3	3	2
AC008267.7	0	1	2	2	0	1	3	0	1	0
AC008277.2	0	1	0	2	0	1	8	9	0	2
AC008417.1	0	22	0	13	0	19	21	7	15	3
AC008429.4	9	2	0	4	0	4	14	3	3	11
AC008481.1	6	8	0	3	4	7	43	14	40	35
AC008481.2	0	30	4	12	5	19	18	16	22	25
AC008489.1	0	4	3	1	0	3	0	0	1	0
AC008494.1	0	0	0	0	0	0	6	3	13	8
AC008498.1	0	4	0	0	0	0	3	1	20	8
AC008507.1	61	10	0	23	0	14	33	38	24	54
AC008555.6	3	0	0	1	0	0	0	7	0	1
AC008565.1	14	25	16	30	6	23	75	121	108	181
AC008567.1	30	35	39	18	34	28	33	11	28	40
AC008575.1	0	0	0	0	0	0	0	0	184	30
AC008581.2	5	0	13	30	2	0	2	0	6	18
AC008608.1	12	46	26	29	0	33	3	3	0	0
AC008626.1	3	22	9	10	0	6	4	14	9	13
AC008626.2	0	10	4	8	14	5	26	23	30	25
AC008638.2	13	3	1	0	0	0	1	0	0	0
AC008676.2	1	0	1	0	0	0	3	7	1	1
AC008676.3	0	32	22	19	0	32	302	320	177	163
AC008677.2	5	2	2	5	0	0	3	3	3	4
AC008687.4	0	0	0	0	0	0	0	1	7	40
AC008716.1	1	2	0	2	2	3	0	0	0	0
AC008750.8	63	65	19	0	33	36	0	0	0	0
AC008751.1	0	1	17	3	72	7	10	1	5	3
AC008752.4	0	2	1	2	0	3	40	48	23	49
AC008753.1	58	72	35	53	1	63	0	0	0	3
AC008758.1	57	157	231	102	59	150	185	322	165	242
AC008758.4	24	98	50	121	50	102	68	86	61	90
AC008758.6	20	82	35	50	38	58	28	22	39	42
AC008763.2	331	117	58	71	37	58	0	0	0	0
AC008764.1	0	1	0	0	0	0	4	0	5	0
AC008770.2	24	44	38	48	19	40	60	68	30	36
AC008799.1	10	13	6	9	7	12	1	0	0	1
AC008802.1	13	15	8	14	6	12	1	1	0	2
AC008813.1	8	7	1	4	0	1	1	7	4	11
AC008850.2	14	15	3	5	0	10	3	9	6	4
AC008868.1	1	1	0	2	0	2	6	6	12	2
AC008878.2	0	0	0	0	0	0	0	3	11	1
AC008953.1	0	3	0	1	0	1	113	111	210	212
AC008958.1	0	13	0	13	0	2	0	1	24	28
AC008982.1	357	44	46	0	0	0	0	0	0	0
AC009022.2	1	18	0	7	56	11	1	0	0	1
AC009027.1	0	3	0	4	0	0	5	3	2	15
AC009053.2	173	825	561	509	118	538	923	863	860	958
AC009075.2	0	0	0	0	0	0	0	9	1	2
AC009078.2	0	0	0	3	0	3	1	0	2	6
AC009091.1	0	0	0	3	0	0	4	9	0	0
AC009093.3	57	379	73	142	22	110	1273	1804	1067	1873
AC009093.8	45	72	119	79	3	88	22	13	21	12
AC009093.9	260	526	311	468	1	492	213	98	92	141
AC009108.1	3	8	2	7	0	4	1	1	1	1
AC009117.1	7	1	3	5	0	3	1	1	0	1
AC009120.1	0	96	47	58	135	51	20	32	31	34
AC009133.6	0	0	0	0	0	0	0	6	17	0
AC009153.1	1	28	0	48	114	29	7	6	8	12
AC009163.5	187	85	13	22	126	61	211	18	101	77
AC009220.1	2	9	2	3	0	2	0	1	0	0
AC009220.2	35	74	42	30	24	40	413	304	167	305
AC009220.3	0	3	0	4	0	0	0	0	7	1
AC009237.3	4	57	4	11	0	26	8	25	39	80
AC009245.1	0	2	3	2	0	2	4	3	21	12
AC009248.1	0	3	0	0	0	0	0	4	2	4
AC009268.1	0	0	0	0	0	0	2	4	9	13
AC009299.1	0	0	0	0	3	2	3	9	118	9
AC009303.1	0	0	0	3	0	0	3	1	2	1
AC009362.1	1	0	1	4	1	1	6	2	6	4
AC009452.1	2	25	9	16	10	22	47	36	33	35
AC009474.2	4	15	8	8	1	6	1	1	2	2
AC009533.1	5	181	372	116	2	139	152	175	271	216
AC009533.3	0	9	16	2	0	0	3	5	12	10
AC009542.2	1	14	5	9	15	13	16	16	17	19
AC009570.2	16	18	21	8	19	14	15	36	12	41
AC009690.1	0	49	0	20	2	26	120	56	0	0
AC009779.4	22	420	137	203	932	353	402	369	274	203
AC009879.1	49	69	46	70	82	46	121	154	154	197
AC009879.2	0	21	0	10	5	6	0	0	0	0
AC009879.3	0	9	99	25	0	21	6	189	3	3
AC009927.1	0	2	2	9	0	6	67	37	49	75
AC009948.1	0	0	0	1	0	1	6	7	4	7
AC009961.2	0	4	19	2	0	1	1	1	11	6
AC009963.2	0	7	0	5	0	3	4	3	4	1
AC009977.1	0	0	0	0	0	0	15	0	12	0
AC010087.1	0	0	0	0	0	0	92	116	28	39
AC010099.1	7	5	8	2	1	1	3	5	4	3
AC010132.3	752	282	393	323	0	217	0	1	288	347
AC010182.1	0	1	0	0	0	6	3	0	2	0
AC010186.2	2671	4141	1470	2463	3114	3516	429	510	234	328
AC010197.2	8	45	28	22	8	39	68	79	57	65
AC010203.1	3	46	2	44	1	47	109	129	105	64
AC010240.3	6	152	5	45	2	95	68	52	30	15
AC010287.1	0	2	27	5	0	6	29	23	78	123
AC010301.1	1	0	0	5	1	3	1	4	12	6
AC010319.1	147	494	250	307	225	244	236	304	313	418
AC010323.1	17	0	2	0	0	3	0	0	0	0
AC010325.1	6	21	32	17	9	15	22	42	23	26
AC010326.2	172	164	66	154	144	161	3	3	16	15
AC010326.4	17	689	331	452	0	206	222	185	214	260
AC010329.2	32	50	48	40	32	45	108	128	179	201
AC010329.3	0	2	5	0	0	1	2	0	0	0
AC010332.3	101	38	22	33	29	110	48	43	31	42
AC010343.1	7	3	4	3	0	5	10	1	3	11
AC010409.1	5	4	2	1	3	0	0	0	0	1
AC010422.3	222	156	117	82	35	101	217	135	421	271
AC010422.6	682	871	568	715	939	831	0	35	86	57
AC010422.8	723	2853	1539	1367	486	1458	904	922	846	1190
AC010442.2	1	1	0	0	0	1	0	0	4	15
AC010469.1	6	147	108	127	4	148	2	2	5	2
AC010469.2	4	9	1	3	2	7	0	2	3	1
AC010522.1	0	43	33	31	0	39	0	6	5	3
AC010531.1	0	0	0	0	0	0	0	0	19	0
AC010542.3	0	7	2	8	0	17	0	0	0	0
AC010547.4	0	26	50	33	0	34	46	6	4	17
AC010614.1	5	4	0	3	0	3	0	1	0	2
AC010615.1	0	25	8	21	7	34	42	30	67	32
AC010618.1	1	3	28	8	0	1	1	0	1	1
AC010619.2	38	24	21	3	23	21	93	158	19	82
AC010627.1	0	15	0	13	0	10	10	27	3	0
AC010653.1	0	2	0	3	0	0	1	8	4	34
AC010653.3	0	2	0	2	0	3	38	20	17	22
AC010655.3	0	6	0	3	0	3	0	0	21	21
AC010677.1	0	0	1	2	0	1	3	1	1	2
AC010683.1	2	5	3	0	1	1	5	0	2	2
AC010724.2	0	0	14	0	0	0	0	0	0	6
AC010867.1	20	68	37	40	30	46	238	248	175	224
AC010886.1	35	59	23	51	9	50	105	94	93	131
AC010970.1	5406	6615	5206	6946	4945	8997	304656	292834	276913	213179
AC011043.1	549	266	351	354	2	805	19	18	48	78
AC011043.3	8	4	7	4	0	8	6	2	3	8
AC011247.2	0	0	0	0	0	0	0	12	0	0
AC011290.2	0	4	0	3	0	4	5	2	4	15
AC011295.1	12186	14455	8075	11704	0	20	3705	2949	5993	4040
AC011295.2	0	4	0	0	0	3	17	14	27	14
AC011330.1	0	0	200	71	0	24	0	20	0	43
AC011330.3	0	0	0	0	0	4	4	23	2	8
AC011342.1	6	63	36	30	0	23	49	86	9	16
AC011406.1	0	0	0	1	0	1	0	1	2	5
AC011416.2	3	1	3	4	3	0	0	0	1	0
AC011444.4	3	8	3	4	2	2	0	1	2	0
AC011447.4	0	0	0	0	0	0	0	1	13	6
AC011448.1	417	734	308	497	63	388	30	21	205	106
AC011451.2	0	0	0	3	0	2	1	3	2	5
AC011458.1	0	10	0	3	0	2	13	11	2	2
AC011458.2	0	2	0	4	0	1	11	5	0	1
AC011462.1	106	515	493	334	0	547	107	108	10	205
AC011467.4	0	0	0	0	0	14	0	0	0	0
AC011475.1	206	439	314	304	280	317	277	230	325	403
AC011476.11	172	155	7	81	0	96	0	0	0	0
AC011487.1	0	0	9	5	0	0	1	0	1	0
AC011487.2	33	81	54	65	34	48	28	37	41	66
AC011495.1	4	5	19	0	17	6	3	1	11	1
AC011497.2	15	17	8	8	0	12	6	8	56	43
AC011498.4	32	31	11	28	26	24	325	290	114	208
AC011498.5	4	8	19	4	0	4	0	0	1	1
AC011499.1	0	0	0	0	0	0	0	0	0	14
AC011503.3	0	0	0	0	0	1	0	0	9	1
AC011506.1	2	0	2	4	2	0	1	1	0	1
