GeneName	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717	SRR4290846	SRR4290852	SRR4290853	SRR4290854
NFKBIB	283	556	296	294	157	469	827	651	2015	1946
NFKBID	667	487	557	277	349	683	186	392	1370	1066
NFKBIE	449	398	478	235	437	248	32	26	323	286
NFKBIL1	0	55	94	29	0	35	74	40	48	59
NFKBIZ	718	3296	1021	1445	1102	3136	19671	12693	2642	4539
NFRKB	1063	2121	346	1051	3767	943	596	760	1702	790
NFS1	233	851	1054	442	1553	485	445	503	798	848
NFU1	1069	1343	556	854	252	837	136	165	81	108
NFX1	1103	3960	1302	2385	2009	2681	1319	1211	2385	2097
NFXL1	17	169	44	142	0	272	215	213	343	249
NFYA	908	996	54	498	489	790	1643	1192	1609	1376
NFYB	1382	1356	876	874	3	1101	229	102	1030	500
NFYC	1252	2949	1317	1276	50	1811	1489	1457	1888	1969
NGDN	2263	3677	1447	1734	5	2161	554	451	1039	934
NGEF	0	6	0	0	3	0	2	4	2	6
NGFR	0	12	0	1	0	11	0	0	0	0
NGLY1	1315	2230	1034	859	1831	1415	1441	1493	1642	1325
NGRN	1092	1459	914	670	74	956	1006	1000	2344	2289
NHEJ1	593	825	293	403	0	735	103	117	361	311
NHLH1	0	1	0	5	0	0	18	0	24	125
NHLRC1	0	31	11	15	18	16	31	38	20	11
NHLRC2	401	610	241	347	463	565	1189	1393	2805	2165
NHLRC3	1126	1607	640	960	176	906	834	1340	621	895
NHLRC4	0	18	0	1	0	19	25	0	0	0
NHP2	2665	2569	1656	1739	662	1408	150	287	2455	1439
NHP2P1	1	26	0	26	0	23	12	0	2	5
NHS	0	8	1	2	0	5	15	6	667	112
NHSL1	0	120	72	106	140	117	56	12	40	56
NHSL2	31	55	23	43	366	885	1144	1590	319	279
NIBAN1	2310	2394	1532	1620	556	1503	1809	2840	1624	1867
NIBAN2	0	0	133	1	0	3	30	143	34	250
NIBAN3	381	766	758	696	401	649	569	544	498	659
NICN1	685	934	181	579	95	628	670	663	268	293
NID1	0	0	0	0	0	0	0	20	2	13
NID2	179	123	0	42	0	48	26	30	28	11
NIF3L1	694	938	286	656	12	773	367	603	970	759
NIFK	1250	1879	1300	1232	904	1022	370	612	2932	2445
NIFKP4	59	109	33	80	76	86	46	49	71	85
NIFKP9	0	0	0	1	0	0	3	1	6	5
NIM1K	23	43	23	47	33	16	113	92	69	82
NIN	133	926	607	519	367	811	7051	7021	4846	3558
NINJ1	815	975	1515	354	785	657	216	241	371	678
NINJ2	1088	1368	508	554	2	569	99	129	43	113
NINL	0	3	0	6	0	3	52	20	7	5
NIP7	1312	1294	481	788	7	893	600	750	4428	3959
NIP7P3	0	12	0	13	0	16	47	39	52	13
NIPA1	55	174	233	222	5	129	980	1059	4349	3103
NIPA2	280	437	423	470	7	186	1240	1291	4704	4834
NIPAL1	20	43	37	36	11	38	339	89	677	376
NIPAL2	5	39	1208	588	14	44	84	1493	112	262
NIPAL3	4016	4195	1502	2343	2503	2439	1839	1851	1331	960
NIPAL4	31	9	1	2	0	8	93	188	341	281
NIPBL	1196	5880	3589	3752	1665	4469	3765	3091	2967	2393
NIPSNAP1	1472	1414	559	767	0	931	462	483	502	348
NIPSNAP2	377	603	291	398	351	451	750	952	847	1086
NIPSNAP3A	1068	1697	372	983	10	937	69	75	40	61
NIPSNAP3B	28	170	187	138	0	120	9	4	8	1
NISCH	1240	947	310	425	4	736	1862	1122	1422	2041
NIT1	1280	1967	718	976	503	1097	545	685	656	732
NIT2	2052	4103	2475	1601	1763	1620	518	671	1848	779
NKAP	735	2116	1526	1372	444	1004	4513	4070	3148	4085
NKAPD1	2130	1157	359	509	124	453	1801	1693	1438	1802
NKAPL	26	62	0	54	0	33	0	8	13	3
NKAPP1	103	208	3	198	0	190	146	89	28	15
NKD1	34	109	42	65	19	121	327	333	112	110
NKG7	1289	607	222	283	766	374	937	188	1387	466
NKIRAS1	10	174	88	171	5	157	279	276	144	260
NKIRAS2	1883	2106	1699	1146	723	1356	996	697	1786	1538
NKPD1	19	25	23	18	24	17	44	32	41	47
NKRF	263	490	209	246	265	214	299	431	2168	1777
NKTR	1604	11696	6558	6482	2671	5895	8953	7701	4657	4403
NKX3-1	405	456	547	295	1	303	37	11	79	59
NKX6-2	0	0	7	2	16	1	60	42	66	38
NLE1	856	833	894	537	18	769	119	97	1264	1035
NLGN2	0	4	0	13	0	30	75	158	218	294
NLGN3	0	11	0	23	0	10	104	94	58	121
NLGN4Y	20	35	13	21	13	26	125	89	128	96
NLK	523	447	185	273	1161	315	1203	1256	1225	1117
NLN	102	259	88	169	172	224	452	559	1298	1360
NLRC3	1622	3569	1618	1957	3617	2536	1739	1812	661	585
NLRC4	0	9	0	4	0	6	2	12	16	33
NLRC5	2796	5056	3592	2289	454	1520	4689	5435	2767	3998
NLRP1	494	1797	940	1091	527	1697	14217	11869	2306	2060
NLRP11	99	26	15	18	8	11	26	28	29	43
NLRP12	58	175	94	130	120	102	228	254	233	273
NLRP2	520	1405	455	441	352	376	347	360	303	382
NLRP2B	0	1	0	0	12	0	0	0	2	0
NLRP3	381	710	975	384	21	730	63	84	103	99
NLRP5	1	0	1	5	0	0	6	2	7	5
NLRP6	1	32	60	8	0	14	47	113	27	35
NLRP7	13	486	193	230	380	199	0	0	0	2
NLRP8	16	24	17	30	20	25	34	39	28	35
NLRP9	0	0	0	0	1	0	4	3	2	2
NLRX1	312	425	42	288	17	356	60	69	186	199
NMB	0	7	2	11	0	15	5	5	75	25
NMD3	1864	2184	1094	1972	1139	1723	695	734	1453	1607
NMD3P1	55	4	0	0	0	2	13	33	1	0
NME1	1618	2228	791	1074	830	996	75	135	2189	1937
NME1-NME2	111	84	0	79	0	74	0	0	0	0
NME1P1	0	0	0	0	0	0	0	1	18	5
NME2	2468	2845	1812	1638	2068	1698	250	265	3068	2442
NME3	714	454	548	238	1133	887	130	116	89	49
NME4	151	42	36	39	1	48	319	228	2030	834
NME6	3504	4497	1612	2479	398	2441	1420	1043	1344	914
NME7	692	1893	1327	1214	328	1311	343	343	444	436
NME8	0	0	0	0	0	10	0	0	0	0
