CD4_ABC_H3K27ac_count_bins	Gene_Name	Mean_Gene_Expression
0	ALKBH2	550.0
0	ALKBH3	177.5
0	ALKBH5	1569.5
0	ALKBH6	1107.0
0	ALKBH7	44.0
0	ALKBH8	1029.25
0	ALOX12	90.75
0	ALOX12P2	574.5
0	ALOX15B	0.25
0	ALOX15P1	352.75
0	ALOX5AP	309.75
0	ALPK1	686.5
0	ALPK2	66.5
0	ALPP	12.5
0	ALS2	571.0
0	ALS2CL	465.0
0	ALX3	8.75
0	AMBRA1	1016.0
0	AMD1	3405.75
0	AMER1	101.5
0	AMER2	55.0
0	AMER3	48.0
0	AMFR	989.5
0	AMH	3.0
0	AMMECR1	513.5
0	AMMECR1L	608.0
0	AMN	36.5
0	AMN1	409.5
0	AMOT	74.5
0	AMOTL1	46.75
0	AMPH	28.75
0	AMT	549.75
0	AMZ1	150.75
0	AMZ2	1129.75
0	ANAPC1	4128.0
0	ANAPC15	1343.0
0	ANAPC5	3688.75
0	ANGPT1	61.25
0	ANGPT2	554.75
0	ANGPTL1	22.75
0	ANGPTL2	5.75
0	ANGPTL4	74.0
0	ANGPTL5	1.0
0	ANK2	0.75
0	ANK3	2788.25
0	ANKDD1B	11.0
0	ANKEF1	122.5
0	ANKFN1	2.75
0	ANKHD1	3823.5
0	ANKK1	18.25
0	ANKLE1	909.5
0	ANKMY1	604.5
0	ANKMY2	46.5
0	ANKRD10	1164.5
0	ANKRD13A	1521.25
0	ANKRD17	4611.5
0	ANKRD18A	155.5
0	ANKRD18B	34.75
0	ANKRD18DP	8.25
0	ANKRD20A11P	71.25
0	ANKRD20A19P	119.0
0	ANKRD22	51.25
0	ANKRD24	30.5
0	ANKRD26	285.0
0	ANKRD29	51.5
0	ANKRD30B	50.5
0	ANKRD35	1.75
0	ANKRD36	3249.0
0	ANKRD36B	2665.5
0	ANKRD39	464.0
0	ANKRD40	2902.75
0	ANKRD53	11.75
0	ANKRD55	335.5
0	ANKRD6	198.0
0	ANKRD62	197.75
0	ANKRD65	24.0
0	ANKRD7	7.75
0	ANKS1A	1449.75
0	ANKS1B	100.25
0	ANKS6	369.25
0	ANKUB1	219.75
0	ANLN	63.75
0	ANO10	210.25
0	ANO2	2.75
0	ANO5	23.25
0	ANO6	792.25
0	ANO9	580.5
0	ANP32B	7691.5
0	ANP32C	2.25
0	ANP32E	14317.25
0	ANPEP	17.25
0	ANTXR2	965.25
0	ANTXRL	2.5
0	ANTXRLP1	105.0
0	ANXA10	2.75
0	ANXA11	2283.75
0	ANXA13	150.5
0	ANXA2	1739.5
0	ANXA3	104.75
0	ANXA6	3495.75
0	ANXA7	2034.0
0	ANXA9	12.5
0	AOAH	274.75
0	AOC1	13.75
0	AOC2	61.25
0	AP001258.1	4.0
0	AP1G2	4304.5
0	AP1M1	2087.0
0	AP1S3	1380.5
0	AP2A2	1193.0
0	AP2M1	1775.75
0	AP2S1	183.5
0	AP3B1	1940.5
0	AP4B1	956.5
0	AP4E1	848.0
0	AP4M1	180.5
0	AP5S1	520.75
0	AP5Z1	1027.0
0	APAF1	862.25
0	APBA1	100.0
0	APBA2	802.75
0	APBB1	703.5
0	APBB1IP	1148.0
0	APBB2	221.75
0	APC	900.0
0	APC2	23.25
0	APCDD1	41.0
0	APEH	1305.5
0	APELA	35.25
0	APEX1	7698.75
0	APEX2	583.75
0	APH1B	206.5
0	API5	6112.0
0	APMAP	1070.0
0	APOA1	1.0
0	APOB	6.75
0	APOBEC2	17.75
0	APOBEC3B	25.0
0	APOBEC3D	1807.5
0	APOBEC3F	554.0
0	APOBEC3G	1139.0
0	APOBEC3H	15.0
0	APOD	13.25
0	APOE	184.25
0	APOL4	496.0
0	APOL6	2822.25
0	APOM	39.5
0	APOOL	1100.75
0	APPL1	1190.5
0	AQP1	26.0
0	AQP10	3.75
0	AQP11	87.0
0	AQP3	1171.0
0	AQP6	141.75
0	AQP7	30.75
0	ARAF	1435.25
0	ARAP2	1499.0
0	ARAP3	60.75
0	ARC	10.0
0	AREG	30.75
0	ARF1	8407.5
0	ARF3	2554.5
0	ARF5	97.75
0	ARF6	3211.25
0	ARFGAP1	660.0
0	ARFGAP2	977.0
0	ARFGAP3	390.5
0	ARFGEF1	4307.5
0	ARFIP1	324.5
0	ARG2	215.25
0	ARGFX	6.0
0	ARHGAP10	275.75
0	ARHGAP11B	329.0
0	ARHGAP12	420.0
0	ARHGAP15	1290.5
0	ARHGAP17	1468.75
0	ARHGAP18	131.75
0	ARHGAP22	159.25
0	ARHGAP23	10.75
0	ARHGAP24	1.0
0	ARHGAP26	1518.0
