GeneName	ILC3_mean
A1BG	474.0
A1CF	5.166666666666667
A2M	33.5
A2ML1	68.83333333333333
A2MP1	4.833333333333333
A4GALT	118.83333333333333
AAAS	1057.5
AACS	948.8333333333334
AADACL3	0.5
AADAT	3.6666666666666665
AAGAB	1824.1666666666667
AAK1	6442.166666666667
AAMDC	541.8333333333334
AAMP	3040.8333333333335
AANAT	9.0
AAR2	2384.5
AARD	81.83333333333333
AARS1	2605.6666666666665
AARS2	349.1666666666667
AARSD1	1201.6666666666667
AASDH	755.6666666666666
AASDHPPT	2238.5
AASS	312.6666666666667
AATF	1159.0
AATK	18.666666666666668
ABAT	285.0
ABCA1	4002.1666666666665
ABCA10	16.333333333333332
ABCA11P	58.5
ABCA12	0.3333333333333333
ABCA13	57.166666666666664
ABCA17P	27.166666666666668
ABCA2	268.6666666666667
ABCA3	45.166666666666664
ABCA5	1006.1666666666666
ABCA6	83.5
ABCA7	249.66666666666666
ABCA8	38.333333333333336
ABCA9	118.5
ABCB1	3188.5
ABCB10	254.16666666666666
ABCB11	34.0
ABCB4	3.8333333333333335
ABCB5	415.8333333333333
ABCB6	32.166666666666664
ABCB7	1515.8333333333333
ABCB8	449.8333333333333
ABCB9	250.0
ABCC1	2099.6666666666665
ABCC10	1402.5
ABCC11	28.0
ABCC13	7.0
ABCC2	59.5
ABCC3	132.5
ABCC4	409.3333333333333
ABCC5	647.5
ABCC6	145.83333333333334
ABCC6P1	5.5
ABCC8	31.333333333333332
ABCC9	185.33333333333334
ABCD1	17.333333333333332
ABCD2	106.0
ABCD3	434.0
ABCD4	1884.5
ABCE1	1660.6666666666667
ABCF1	2799.0
ABCF2	3702.3333333333335
ABCF3	1657.3333333333333
ABCG1	213.66666666666666
ABCG2	291.0
ABCG4	0.3333333333333333
ABCG5	11.666666666666666
ABCG8	40.5
ABHD1	255.66666666666666
ABHD10	612.3333333333334
ABHD11	266.6666666666667
ABHD11-AS1	1.0
ABHD12	68.83333333333333
ABHD12B	66.5
ABHD13	457.0
ABHD14A	296.6666666666667
ABHD14A-ACY1	292.8333333333333
ABHD14B	1117.1666666666667
ABHD15	4880.333333333333
ABHD16A	1019.3333333333334
ABHD16B	0.5
ABHD17A	44.166666666666664
ABHD17B	289.6666666666667
ABHD17C	21.166666666666668
ABHD18	839.0
ABHD2	2051.1666666666665
ABHD3	513.6666666666666
ABHD4	1327.3333333333333
ABHD5	536.8333333333334
ABHD6	66.0
ABHD8	9.666666666666666
ABI1	2329.3333333333335
ABI1P1	0.16666666666666666
ABI2	1063.0
ABI3	812.5
ABI3BP	43.333333333333336
ABITRAM	260.3333333333333
ABL1	268.0
ABL2	582.1666666666666
ABLIM1	6103.666666666667
ABLIM2	10.666666666666666
ABLIM3	19.5
ABO	145.5
ABR	620.5
ABRA	41.0
ABRACL	4704.333333333333
ABRAXAS1	437.1666666666667
ABRAXAS2	525.0
ABT1	2059.8333333333335
ABT1P1	0.0
ABTB1	1636.0
ABTB2	55.5
AC000078.1	0.0
AC000081.1	1.5
AC000089.1	5.666666666666667
AC000095.1	1.1666666666666667
AC000120.3	6.333333333333333
AC000120.4	0.0
AC000367.1	13.5
AC001226.2	198.0
AC002059.3	3.1666666666666665
AC002075.2	4.5
AC002094.3	0.0
AC002310.3	1.1666666666666667
AC002381.1	0.3333333333333333
AC002472.2	46.666666666666664
AC002472.3	1.6666666666666667
AC002543.1	32.0
AC002558.1	74.5
AC002984.1	0.5
AC003002.2	33.0
